dataset,n,kappa,h,label,nearest_control,margin,ferro_score,antiphase_score,transverse_score,distance_ferro_like,distance_antiphase_like,distance_paramagnetic_like,distance_degraded
grid_n8,8,0.0,0.0,ferro_like,ferro_like,0.9100137361600648,1.0,-0.3333333333333333,0.0,0.0,1.4142135623730951,1.352081728298996,0.9100137361600648
grid_n8,8,0.0,0.1,ferro_like,ferro_like,0.8589959701196221,0.997491922518144,-0.3324968691005347,0.05006275644111617,0.05011476105927943,1.4131056780487377,1.3139089803568607,0.9091107311789016
grid_n8,8,0.0,0.2,ferro_like,ferro_like,0.8054500465118428,0.9898682434369007,-0.32994949211590985,0.10051028498900196,0.10093241075869758,1.40974501798375,1.2729919830343706,0.9063824572705405
grid_n8,8,0.0,0.30000000000000004,ferro_like,ferro_like,0.7485130210676005,0.9768033977568583,-0.32557204345018925,0.15179089015195635,0.1532524952431952,1.4040122287743977,1.2286575056147109,0.9017655163107957
grid_n8,8,0.0,0.4,ferro_like,ferro_like,0.6869378241023564,0.9576156032603566,-0.31913660708589814,0.20457538615832682,0.20818226623413827,1.3956618760677146,1.1798682993484317,0.8951200903364946
grid_n8,8,0.0,0.5,ferro_like,ferro_like,0.6185900427584892,0.9309124079109191,-0.3102281053067671,0.2600619132918739,0.2675572675140189,1.384205824003001,1.1247814138397971,0.886147310272508
grid_n8,8,0.0,0.6000000000000001,ferro_like,ferro_like,0.5397401380755535,0.893923052094016,-0.29810095881952764,0.32035082914181334,0.33457129732300095,1.368742025505981,1.0600560493601525,0.8743114353985545
grid_n8,8,0.0,0.7000000000000001,ferro_like,ferro_like,0.44489234867944144,0.8418184038915547,-0.28156310929289213,0.3884757276276253,0.41421975015334717,1.3480003235039153,0.9803683711267048,0.8591120988327886
grid_n8,8,0.0,0.8,uncertain,ferro_like,0.3295087613516938,0.7685882759734061,-0.2592824257508701,0.46699093866501684,0.5120208064409822,1.3214077447208488,0.8798807510903364,0.8415295677926761
grid_n8,8,0.0,0.9,uncertain,ferro_like,0.1297219292576517,0.6723619165838072,-0.23113797785270926,0.5541008426196632,0.6285616596487982,1.2916772355279698,0.7582835889064499,0.8265565234417863
grid_n8,8,0.0,1.0,uncertain,paramagnetic_like,0.12509529902001137,0.5628839496768866,-0.19986600889875858,0.640728861935377,0.7528890290184302,1.2655780557907141,0.6277937299984189,0.8219383743907336
grid_n8,8,0.0,1.1,uncertain,paramagnetic_like,0.32235087106822047,0.45830624000918757,-0.16999323633016425,0.7156629331599773,0.8670870204219113,1.2485454238815152,0.5078562082933255,0.8302070793615459
grid_n8,8,0.0,1.2000000000000002,paramagnetic_like,paramagnetic_like,0.4357948050310958,0.3714945291561044,-0.14455814210933657,0.773873567623883,0.9598760902570392,1.2402881712869502,0.4105487479711267,0.8463435530022225
grid_n8,8,0.0,1.3,paramagnetic_like,paramagnetic_like,0.5277409803717313,0.30481142182168736,-0.1240828756345201,0.8169071624099314,1.0305258511717819,1.2375491228929292,0.3366270534892677,0.864368033860999
grid_n8,8,0.0,1.4000000000000001,paramagnetic_like,paramagnetic_like,0.5996590267367079,0.25490977897016875,-0.10779551224790662,0.8485717731452621,1.0833886004852415,1.2375444401034759,0.2814537786420395,0.8811128053787474
grid_n8,8,0.0,1.5,paramagnetic_like,paramagnetic_like,0.6557060317714776,0.2174435823615439,-0.09471371679969627,0.8722858606428571,1.123287837486833,1.2386978688034025,0.23991034544415007,0.8956163772156277
grid_n8,8,0.0,1.6,paramagnetic_like,paramagnetic_like,0.6998686838620483,0.18884861641169298,-0.08403137223429513,0.890490021888213,1.153988012354628,1.2402501641725714,0.20801321436395495,0.9078818982260032
grid_n8,8,0.0,1.7000000000000002,paramagnetic_like,paramagnetic_like,0.7352294723600461,0.16656790168593646,-0.07516092748309074,0.904811460202695,1.1781282398399986,1.2418620570270749,0.1829772564168904,0.9182067287769364
grid_n8,8,0.0,1.8,paramagnetic_like,paramagnetic_like,0.7640164245165987,0.14884067318216745,-0.06768550703687544,0.9163262925275362,1.1975069244067946,1.2433914398234882,0.16290977532416698,0.9269261998407656
grid_n8,8,0.0,1.9000000000000001,paramagnetic_like,paramagnetic_like,0.7878157432417724,0.13445990012150535,-0.06130704879266191,0.9257577826413539,1.2133535691257236,1.2447860386876772,0.1465202504288318,0.9343359936706042
grid_n8,8,0.0,2.0,paramagnetic_like,paramagnetic_like,0.8077636228710515,0.12258910861341661,-0.0558080521283543,0.933604322746598,1.2265224206714436,1.2460338144190743,0.13291423937625613,0.9406778622473077
grid_n8,8,0.05,0.0,ferro_like,ferro_like,0.9100137361600648,1.0,-0.3333333333333333,0.0,0.0,1.4142135623730951,1.352081728298996,0.9100137361600648
grid_n8,8,0.05,0.1,ferro_like,ferro_like,0.8562337463167861,0.9972179844176338,-0.3324053205109823,0.05271735299922378,0.05277811455588374,1.4129844241439489,1.3118185305935979,0.9090118608726698
grid_n8,8,0.05,0.2,ferro_like,ferro_like,0.7995098966020642,0.9887241842891399,-0.32956463183309076,0.1059628285589751,0.10645870056705412,1.4092365753066647,1.2684058664081581,0.9059685971691183
grid_n8,8,0.05,0.30000000000000004,ferro_like,ferro_like,0.7386549472334228,0.9740254620083787,-0.3246312476050295,0.16036955140165737,0.1621034803711455,1.4027718874680393,1.2209122171955442,0.9007584276045684
grid_n8,8,0.05,0.4,ferro_like,ferro_like,0.6718093261726985,0.9520424192992218,-0.317249685171944,0.21694088283214935,0.2212910748446234,1.3931685114649424,1.1677955988241275,0.8931004010173219
grid_n8,8,0.05,0.5,ferro_like,ferro_like,0.5955563985303065,0.9204519194872641,-0.3067446331972075,0.2775513193676977,0.2868400173153799,1.3795597139783442,1.10612874294176,0.8823964158456864
grid_n8,8,0.05,0.6000000000000001,ferro_like,ferro_like,0.5038150843770994,0.8745180619462438,-0.29188123753838263,0.34547185371287353,0.3638305189288209,1.3603680058048688,1.0304684301376474,0.8676456033059203
grid_n8,8,0.05,0.7000000000000001,uncertain,ferro_like,0.3886308990056712,0.8064875046654861,-0.2708299422508362,0.42484168854258814,0.45973730487641756,1.3337752569439452,0.9327621520371339,0.8483682038820888
grid_n8,8,0.05,0.8,uncertain,ferro_like,0.22793197206869464,0.7098117560902352,-0.24233863620674842,0.5167047859644447,0.5797534279022467,1.3006892652099653,0.8076853999709414,0.8281094597063294
grid_n8,8,0.05,0.9,uncertain,paramagnetic_like,0.05068143478374998,0.5910933119776839,-0.20851729652611986,0.6125715086024615,0.7155579275036091,1.2685473536149083,0.6648764927198592,0.8168254206232712
grid_n8,8,0.05,1.0,uncertain,paramagnetic_like,0.2921380954443321,0.4731252787983199,-0.17509616980871864,0.6973239494507977,0.8443223966583312,1.2463923146862734,0.5293784633279577,0.8215165587722898
grid_n8,8,0.05,1.1,paramagnetic_like,paramagnetic_like,0.4174693894436535,0.37549032846372643,-0.146670961276011,0.7625037857009085,0.9484800005198708,1.2356086872921022,0.4200629904227964,0.8375323798664499
grid_n8,8,0.05,1.2000000000000002,paramagnetic_like,paramagnetic_like,0.5177049553161059,0.3024261616689377,-0.12417749523721444,0.8095490676560511,1.0259323199729073,1.2320913728053835,0.3390731641141863,0.8567781194302923
grid_n8,8,0.05,1.3,paramagnetic_like,paramagnetic_like,0.5945882470745162,0.24940863118259152,-0.10659869316999619,0.8434013407676613,1.0823985577538864,1.2320510468938461,0.2802506605334988,0.874838907608015
grid_n8,8,0.05,1.4000000000000001,paramagnetic_like,paramagnetic_like,0.6534941205912601,0.21066721946555017,-0.09266525707931694,0.8683620905487983,1.1241232709290678,1.23341746701105,0.23693374254849703,0.8904278631397572
grid_n8,8,0.05,1.5,paramagnetic_like,paramagnetic_like,0.6993319911583518,0.1817253583562176,-0.08139110568827057,0.8873434486643477,1.1557357593221151,1.2352453930420677,0.2042103515085127,0.9035423426668645
grid_n8,8,0.05,1.6,paramagnetic_like,paramagnetic_like,0.7357162367487808,0.15953731090099518,-0.07209118015897797,0.9021976931121782,1.1803262993453278,1.2371326675993344,0.17881690797753375,0.9145331447263146
grid_n8,8,0.05,1.7000000000000002,paramagnetic_like,paramagnetic_like,0.7651582101090688,0.14209654620266296,-0.06429602907400382,0.9141070765640469,1.1999186747181498,1.2389180059241318,0.15862540806833764,0.9237836181774065
grid_n8,8,0.05,1.8,paramagnetic_like,paramagnetic_like,0.789393968342572,0.1280755583690682,-0.057677439261647256,0.9238469101131803,1.2158550284053753,1.2405449754591633,0.14222998399785028,0.9316239523404223
grid_n8,8,0.05,1.9000000000000001,paramagnetic_like,paramagnetic_like,0.8096411223598395,0.11657995103239761,-0.05199899173555692,0.9319429798802039,1.2290469918440041,1.2420023792532875,0.1286787485157528,0.9383198708755923
grid_n8,8,0.05,2.0,paramagnetic_like,paramagnetic_like,0.8267718096127965,0.10699315042628002,-0.04708520756020126,0.9387638013361859,1.2401305780475722,1.2432979028353977,0.11730925948769269,0.9440810691004892
grid_n8,8,0.1,0.0,ferro_like,ferro_like,0.9100137361600648,1.0,-0.3333333333333333,0.0,0.0,1.4142135623730951,1.352081728298996,0.9100137361600648
grid_n8,8,0.1,0.1,ferro_like,ferro_like,0.8531476394245741,0.9968953872627936,-0.3322974227720108,0.055675855284203324,0.05574750267965971,1.4128414086240975,1.3094803048432109,0.9088951421042337
grid_n8,8,0.1,0.2,ferro_like,ferro_like,0.7927818297724383,0.9873543037011958,-0.32910266089178664,0.1120971160247839,0.11268657974339996,1.4086242536847924,1.2632018083353007,0.9054684095158383
grid_n8,8,0.1,0.30000000000000004,ferro_like,ferro_like,0.7272031682369666,0.9705961292258847,-0.3234669579256944,0.17019478471472893,0.1722874673475959,1.4012232635946666,1.2118967918411463,0.8994906355845625
grid_n8,8,0.1,0.4,ferro_like,ferro_like,0.6534433375440724,0.9448020001900045,-0.3148067136945924,0.23155933259952852,0.23695044945254637,1.3898773637879567,1.15311856750428,0.8903937869966188
grid_n8,8,0.1,0.5,ferro_like,ferro_like,0.5655992165378065,0.9057902346880338,-0.30195107418281436,0.29931224469277523,0.3113472098602921,1.3729517861403835,1.0818551406666446,0.8769464263980986
grid_n8,8,0.1,0.6000000000000001,ferro_like,ferro_like,0.4532672970898858,0.8449521887623251,-0.2827568000768061,0.3787040590894897,0.4040558394700424,1.3476136879162064,0.9887339593146247,0.8573231365599282
grid_n8,8,0.1,0.7000000000000001,uncertain,ferro_like,0.3068636766613697,0.7505483819862852,-0.2546686939534955,0.4743236461462956,0.5254575217300775,1.3120854837048375,0.8626188526801298,0.8323211983914472
grid_n8,8,0.1,0.8,uncertain,ferro_like,0.03366149423052023,0.6225240137700983,-0.21835459346426064,0.5802703624625167,0.673232851835219,1.272867387862634,0.7068943460657392,0.81255174692123
grid_n8,8,0.1,0.9,uncertain,paramagnetic_like,0.259443107482095,0.4879593971177759,-0.18071802507411505,0.6769454002632698,0.8198123806924887,1.2438240720069567,0.552298492890877,0.8117416003729719
grid_n8,8,0.1,1.0,paramagnetic_like,paramagnetic_like,0.39877280986472063,0.3769935244025537,-0.14875236183293206,0.7503675050058912,0.9377543850622565,1.2297359461109356,0.4284585704831544,0.827231380347875
grid_n8,8,0.1,1.1,paramagnetic_like,paramagnetic_like,0.508152198786966,0.296864028645014,-0.12402484861308465,0.8017523412523504,1.0227292476003287,1.2253670621269104,0.3397466607415267,0.8478988595284928
grid_n8,8,0.1,1.2000000000000002,paramagnetic_like,paramagnetic_like,0.5900208646152243,0.2409890759632692,-0.10509840826572221,0.8377790730784171,1.082704842719801,1.225409430265335,0.27747622593742466,0.867497090552649
grid_n8,8,0.1,1.3,paramagnetic_like,paramagnetic_like,0.6515695103607853,0.20147700917910832,-0.0902964664583239,0.8639337215944637,1.125965785920709,1.2271220056762755,0.23276458730333924,0.8843340976641245
grid_n8,8,0.1,1.4000000000000001,paramagnetic_like,paramagnetic_like,0.6988779173480235,0.1726691342566762,-0.07841536881238675,0.8836720690583978,1.1582234552093886,1.2293395016694688,0.1995440032062084,0.898421920554232
grid_n8,8,0.1,1.5,paramagnetic_like,paramagnetic_like,0.7361464928795756,0.15096458288043144,-0.06866772138546791,0.8990705267016321,1.1830634209074573,1.2315959808347106,0.17403424243867266,0.9101807353182482
grid_n8,8,0.1,1.6,paramagnetic_like,paramagnetic_like,0.7661622658321262,0.13411223144738502,-0.06053433747420297,0.9114042785514246,1.202728089395776,1.233715027170311,0.15388642199816885,0.920048687830295
grid_n8,8,0.1,1.7000000000000002,paramagnetic_like,paramagnetic_like,0.7907925645521902,0.12068136842179886,-0.053659738570153416,0.9214901706448546,1.2186564685658452,1.2356397496725147,0.13760085191362248,0.9283934164658126
grid_n8,8,0.1,1.8,paramagnetic_like,paramagnetic_like,0.8113208933874769,0.10973718831585913,-0.04779012357859225,0.9298750969684113,1.2318039087047683,1.2373625719331367,0.12418551249704539,0.9355064058845223
