n,kappa,metric,h,value
8,0.0,negative_order_derivative,0.05,0.021784057707415982
8,0.0,negative_order_derivative,0.1,0.04410605429944603
8,0.0,negative_order_derivative,0.15000000000000002,0.06670719196087838
8,0.0,negative_order_derivative,0.2,0.09000501191758836
8,0.0,negative_order_derivative,0.25,0.11431739970037036
8,0.0,negative_order_derivative,0.30000000000000004,0.14007499563550851
8,0.0,negative_order_derivative,0.35000000000000003,0.16789320184439127
8,0.0,negative_order_derivative,0.4,0.1986634076709901
8,0.0,negative_order_derivative,0.45,0.23365295930757846
8,0.0,negative_order_derivative,0.5,0.2745871771067083
8,0.0,negative_order_derivative,0.55,0.32365686339790223
8,0.0,negative_order_derivative,0.6000000000000001,0.383346128959392
8,0.0,negative_order_derivative,0.65,0.45591567177153713
8,0.0,negative_order_derivative,0.7000000000000001,0.5423552640350451
8,0.0,negative_order_derivative,0.75,0.6407636192838018
8,0.0,negative_order_derivative,0.8,0.744595140647589
8,0.0,negative_order_derivative,0.8500000000000001,0.8419806446589897
8,0.0,negative_order_derivative,0.9,0.9176713489623749
8,0.0,negative_order_derivative,0.9500000000000001,0.9579322104355539
8,0.0,negative_order_derivative,1.0,0.9560896900557694
8,0.0,negative_order_derivative,1.05,0.915054959592366
8,0.0,negative_order_derivative,1.1,0.8452086515499015
8,0.0,negative_order_derivative,1.1500000000000001,0.7596024699644763
8,0.0,negative_order_derivative,1.2000000000000002,0.669718051940424
8,0.0,negative_order_derivative,1.25,0.5834771891761492
8,0.0,negative_order_derivative,1.3,0.5052242314832487
8,0.0,negative_order_derivative,1.35,0.43663937495078775
8,0.0,negative_order_derivative,1.4000000000000001,0.3777705213193747
8,0.0,negative_order_derivative,1.4500000000000002,0.327829220325468
8,0.0,negative_order_derivative,1.5,0.28569701292478955
8,0.0,negative_order_derivative,1.55,0.250205952061195
8,0.0,negative_order_derivative,1.6,0.22027380265971264
8,0.0,negative_order_derivative,1.6500000000000001,0.19495625385036952
8,0.0,negative_order_derivative,1.7000000000000002,0.1734562019878929
8,0.0,negative_order_derivative,1.75,0.15511324940797833
8,0.0,negative_order_derivative,1.8,0.13938578462487783
8,0.0,negative_order_derivative,1.85,0.12583176428079312
8,0.0,negative_order_derivative,1.9000000000000001,0.11409092650985597
8,0.0,negative_order_derivative,1.9500000000000002,0.10386942569577684
8,0.0,negative_order_derivative,2.0,0.09434155581457748
8,0.0,mx_derivative,0.05,0.5001447365387335
8,0.0,mx_derivative,0.1,0.5020527212176102
8,0.0,mx_derivative,0.15000000000000002,0.5044752854788578
8,0.0,mx_derivative,0.2,0.507994954355957
8,0.0,mx_derivative,0.25,0.5128060516295438
8,0.0,mx_derivative,0.30000000000000004,0.5192456304511912
8,0.0,mx_derivative,0.35000000000000003,0.5278449600637052
8,0.0,mx_derivative,0.4,0.5393744012183972
8,0.0,mx_derivative,0.45,0.5548652713354709
8,0.0,mx_derivative,0.5,0.5755807781414481
8,0.0,mx_derivative,0.55,0.6028891584993943
8,0.0,mx_derivative,0.6000000000000001,0.6379674037927976
8,0.0,mx_derivative,0.65,0.6812489848581187
8,0.0,mx_derivative,0.7000000000000001,0.7315703494816437
8,0.0,mx_derivative,0.75,0.7851521103739154
8,0.0,mx_derivative,0.8,0.8349254006161289
8,0.0,mx_derivative,0.8500000000000001,0.8710990395464648
8,0.0,mx_derivative,0.9,0.8836689776630067
8,0.0,mx_derivative,0.9500000000000001,0.8662801931571398
8,0.0,mx_derivative,1.0,0.8192197684115099
8,0.0,mx_derivative,1.05,0.7493407122460018
8,0.0,mx_derivative,1.1,0.6669772667139133
8,0.0,mx_derivative,1.1500000000000001,0.5821063446390564
8,0.0,mx_derivative,1.2000000000000002,0.5019222091906848
8,0.0,mx_derivative,1.25,0.43033594786048646
8,0.0,mx_derivative,1.3,0.3686674322675767
8,0.0,mx_derivative,1.35,0.31664610735330534
8,0.0,mx_derivative,1.4000000000000001,0.27323259547375933
8,0.0,mx_derivative,1.4500000000000002,0.23714087497594782
8,0.0,mx_derivative,1.5,0.2071138450688661
8,0.0,mx_derivative,1.55,0.18204161245355976
8,0.0,mx_derivative,1.6,0.1609942687041528
8,0.0,mx_derivative,1.6500000000000001,0.14321438314481938
8,0.0,mx_derivative,1.7000000000000002,0.12809400260196924
8,0.0,mx_derivative,1.75,0.11514832324841429
8,0.0,mx_derivative,1.8,0.10399128775583044
8,0.0,mx_derivative,1.85,0.09431490113817809
8,0.0,mx_derivative,1.9000000000000001,0.08587247776997486
8,0.0,mx_derivative,1.9500000000000002,0.0784654010524406
8,0.0,mx_derivative,2.0,0.0715316253375029
8,0.0,chi_f_per_site,0.025,nan
8,0.0,chi_f_per_site,0.07500000000000001,0.06285876522943647
8,0.0,chi_f_per_site,0.125,0.06349945636221609
8,0.0,chi_f_per_site,0.17500000000000002,0.06449396130285232
8,0.0,chi_f_per_site,0.225,0.06589796156305323
8,0.0,chi_f_per_site,0.275,0.06781119792003529
8,0.0,chi_f_per_site,0.32500000000000007,0.07039844245293986
8,0.0,chi_f_per_site,0.375,0.0739140866273218
8,0.0,chi_f_per_site,0.42500000000000004,0.07872783288424381
8,0.0,chi_f_per_site,0.475,0.08534555725278031
8,0.0,chi_f_per_site,0.525,0.09441195501265606
8,0.0,chi_f_per_site,0.5750000000000001,0.10666743821714184
8,0.0,chi_f_per_site,0.625,0.12281021680979352
8,0.0,chi_f_per_site,0.675,0.1431951957077658
8,0.0,chi_f_per_site,0.7250000000000001,0.1673210688178798
8,0.0,chi_f_per_site,0.775,0.19319021868983638
8,0.0,chi_f_per_site,0.8250000000000001,0.21692429324870893
8,0.0,chi_f_per_site,0.875,0.23330235221294235
8,0.0,chi_f_per_site,0.925,0.23760362823645523
8,0.0,chi_f_per_site,0.9750000000000001,0.22796294129734124
8,0.0,chi_f_per_site,1.025,0.20644816211377057
8,0.0,chi_f_per_site,1.0750000000000002,0.1778929268701088
8,0.0,chi_f_per_site,1.125,0.14752976996129624
8,0.0,chi_f_per_site,1.1750000000000003,0.11920023640024632
8,0.0,chi_f_per_site,1.225,0.09487084214445143
8,0.0,chi_f_per_site,1.275,0.07503956758311714
8,0.0,chi_f_per_site,1.3250000000000002,0.0593717520061064
8,0.0,chi_f_per_site,1.375,0.04719886664386541
8,0.0,chi_f_per_site,1.4250000000000003,0.03780589829915125
8,0.0,chi_f_per_site,1.475,0.030559576453711785
8,0.0,chi_f_per_site,1.525,0.024946264232453767
8,0.0,chi_f_per_site,1.5750000000000002,0.02056812717929702
8,0.0,chi_f_per_site,1.625,0.017124431748358208
8,0.0,chi_f_per_site,1.6750000000000003,0.014390491637853803
8,0.0,chi_f_per_site,1.725,0.012199099422057888
8,0.0,chi_f_per_site,1.775,0.010425702600445123
8,0.0,chi_f_per_site,1.8250000000000002,0.00897714026719913
8,0.0,chi_f_per_site,1.875,0.007783304128417841
8,0.0,chi_f_per_site,1.9250000000000003,0.00679104467558199
8,0.0,chi_f_per_site,1.975,0.005959742028590308
8,0.3,negative_order_derivative,0.05,0.042418937414328894
8,0.3,negative_order_derivative,0.1,0.09686208754928316
8,0.3,negative_order_derivative,0.15000000000000002,0.15936083060265638
8,0.3,negative_order_derivative,0.2,0.24789673825016756
8,0.3,negative_order_derivative,0.25,0.3966176951165039
8,0.3,negative_order_derivative,0.30000000000000004,0.6829071257462633
8,0.3,negative_order_derivative,0.35000000000000003,1.2285197461900026
8,0.3,negative_order_derivative,0.4,2.015111924918058
8,0.3,negative_order_derivative,0.45,2.574438311258894
8,0.3,negative_order_derivative,0.5,2.429395999432251
8,0.3,negative_order_derivative,0.55,1.8086508757981856
8,0.3,negative_order_derivative,0.6000000000000001,1.2097182295472861
8,0.3,negative_order_derivative,0.65,0.8032574693007781
8,0.3,negative_order_derivative,0.7000000000000001,0.5522630774354189
8,0.3,negative_order_derivative,0.75,0.397012408192162
