id,kappa,layers,left_h,right_h,left_branch_id,right_branch_id,comparison_p,actual_switch_pair_checked,actual_switch_pair_sensitive,both_preparations_pass,pair_complete,opposite_direction_checked,opposite_direction_sensitive,actual_switch_pair_sensitive_at_left,actual_switch_pair_sensitive_at_right
k0.0_L6_i14,0.0,6,0.75,0.8,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.01,True,True,True,True,True,True,True,True
k0.0_L6_i14,0.0,6,0.75,0.8,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.05,True,False,True,True,True,False,False,False
k0.0_L6_i19,0.0,6,1.0,1.05,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i19,0.0,6,1.0,1.05,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.0_L6_i19,0.0,6,1.0,1.05,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i20,0.0,6,1.05,1.1,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i20,0.0,6,1.05,1.1,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.0_L6_i20,0.0,6,1.05,1.1,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i21,0.0,6,1.1,1.15,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i21,0.0,6,1.1,1.15,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.0_L6_i21,0.0,6,1.1,1.15,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.05,True,False,True,True,,,False,False
