method,n,kappa,h,region,seeds,joint_pass_runs,observable_pass_runs,state_pass_runs,candidate_pool_exists_runs,at_least_two_joint,all_three_joint,at_least_two_observable,median_fidelity,worst_fidelity,median_cnots,minimum_energy_delta_per_site,median_energy_delta_per_site,source_archives
C1,8,0.863,0.515,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9987595625366524,0.9987595362390923,128.0,0.00041971773160109915,0.0004734410195916805,"['results/stage6_v1/domain_wall_candidates/cache/64da8c24fdf398ab2da23d4b03a638ae42ba3661060512da4c7f1ad264d81aa5.npz', 'results/stage6_v1/domain_wall_candidates/cache/a8b57397eba6727fc2f1f10043f7021dbe6bb8855b1a0c24913e22f667eb5b19.npz', 'results/stage6_v1/domain_wall_candidates/cache/c1a279819cf71bf31dbdd6d24f3ee70c07ed1233211fd99ce339169a94f8fd90.npz']"
H6,8,0.083,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999999477907369,0.9999999477460244,63.0,1.8467766427221477e-08,2.257793085824744e-08,"['results/stage6_v1/domain_wall_candidates/cache/93b547ba85dda8b8548f714869e83b3fbd686ef2d78332d463c110d37a23c445.npz', 'results/stage6_v1/domain_wall_candidates/cache/012cc816b9349e4c4c453509d790e032242f89c39b50e1e9a15061b1d15ac221.npz', 'results/stage6_v1/domain_wall_candidates/cache/d554a4a9ebfa79c26a5f95ef150e9a42d662337bb26b81cf9938080840ac6335.npz']"
H6,8,0.283,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999989969826925,0.9999989969681976,63.0,2.419605569237149e-07,2.5803793923806495e-07,"['results/stage6_v1/domain_wall_candidates/cache/ec460732c18988248525d1a0c27f343467927bee0ad5b6ce1b69765a5f04fb3f.npz', 'results/stage6_v1/domain_wall_candidates/cache/5ca61bc4dba8b209a10b8de44e7714a8818aad68366ecaa7ddc58985900b9007.npz', 'results/stage6_v1/domain_wall_candidates/cache/69d88988013df9ea469fc9a0e212895abdd01bfa9ece5fa6b275efedb693d327.npz']"
H6,8,0.443,0.013,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999999074037661,0.9999999074032234,37.0,5.634036903678918e-09,5.660927837602969e-09,"['results/stage6_v1/domain_wall_candidates/cache/b1a7a07e5fa8f01ddb4cbea540de7bf05747d0b7807df5ce34e744271fe275ce.npz', 'results/stage6_v1/domain_wall_candidates/cache/a9fa5ca93a317a8b398a5c383aa5457d390cc49d1b361361a1fe92e98c6134df.npz', 'results/stage6_v1/domain_wall_candidates/cache/1ea44b118abd0c45df2a3564a9913f376bc8595881fb91bbcccd244c1f73f79b.npz']"
H6,8,0.459,0.044,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999946703780327,0.9999905261561683,63.0,2.797105328466998e-07,3.4162236339785323e-07,"['results/stage6_v1/domain_wall_candidates/cache/fbb717dfe0db8d33929c0a185ec3ae53eabe773b5d33303cd9383ac0591fc388.npz', 'results/stage6_v1/domain_wall_candidates/cache/cfa7949e1d937a8dbc362c0bb96ee27f4455fd17183aa8ea7ef7ba11d0d83001.npz', 'results/stage6_v1/domain_wall_candidates/cache/17fdf5ec42b246939881031a703be33aa83cd9f865c59cb8970769d55f48d4dc.npz']"
H6,8,0.4757,0.093,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9986771981795824,0.9983043732261049,127.0,8.013065841228073e-05,0.0001248230221868596,"['results/stage6_v1/domain_wall_candidates/cache/a74e3c59bb0131fd8da3d4bad155854c6a33eabac9cb924caeb52a0c52afa057.npz', 'results/stage6_v1/domain_wall_candidates/cache/88b5bcc48f60f01ab83511796f097b892d7bfbc85ac5f10ea7d57c6054a3e46a.npz', 'results/stage6_v1/domain_wall_candidates/cache/cafe434daa568e2f4b1b71582e45f86b58fe5ce300e38c9be9212c2ff29a5b01.npz']"
H6,8,0.507,0.013,low_field,"[631, 743, 857]",0,3,0,3,False,False,True,0.49995258620906463,0.49995053133637335,63.0,1.6344662057132808e-07,1.7416085507093726e-07,"['results/stage6_v1/domain_wall_candidates/cache/0c154bf27d3abd37c4bd962f80dfd0591ddcd3ce57c5e070d346f3dab11f0bef.npz', 'results/stage6_v1/domain_wall_candidates/cache/ff7aa574ddc8ea31b038d903703a78a71b56c89600000a70c39ab9f8b33d3906.npz', 'results/stage6_v1/domain_wall_candidates/cache/94f8d4b5f0494fb323f0df2a0454653400f71f245fee3a87f658ac745ca6948e.npz']"
H6,8,0.523,0.044,low_field,"[631, 743, 857]",2,3,2,3,True,False,True,0.9984460342055665,0.500003463049691,128.0,7.664879190016904e-06,7.769163789195233e-06,"['results/stage6_v1/domain_wall_candidates/cache/7b2e5fbc872aa4009098ac98edeaffaf969dc63864682e2fc85a624f9052e4b8.npz', 'results/stage6_v1/domain_wall_candidates/cache/d8c2726e69cc0ec5764afe7276aca85f57bac9c781765399ce21772d36f10e75.npz', 'results/stage6_v1/domain_wall_candidates/cache/c6ba3d64dc1d788b1bd76aa05baeeab4fa31a265e31ef8b9a567dc89e02c9a46.npz']"
H6,8,0.539,0.093,low_field,"[631, 743, 857]",0,0,0,0,False,False,False,0.44553592591479463,0.44038508671816745,127.0,0.0006449604536612474,0.0006663942657357813,"['results/stage6_v1/domain_wall_candidates/cache/5bb77608bcb0f6bacf0e8206f2f3acfed59ba6711e20292b0561444116db10ac.npz', 'results/stage6_v1/domain_wall_candidates/cache/60e1c14e1e51abba6ac64181dcdbf5389f633b5781409a274b317a7dc2df7121.npz', 'results/stage6_v1/domain_wall_candidates/cache/9f8d60e5e3bb00543ae627bea28ca31e36fcdb337a8897a1686269b319e4b975.npz']"
H6,8,0.663,0.235,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9979534192105558,0.9979529029367845,128.0,0.00018909516038490004,0.0001890957029708762,"['results/stage6_v1/domain_wall_candidates/cache/6d5506a9d75ba2e38564a564ed1b36c9583200a1e0cd0c0b627bc3ef95a25d77.npz', 'results/stage6_v1/domain_wall_candidates/cache/ca1cb6355b792bdbae85633c4336b10292d79572d87e8273dd19eb7ee544ecc1.npz', 'results/stage6_v1/domain_wall_candidates/cache/c3645b50902ed56f74e31fad9c0d0dfc00c5c27f2c9a0671c16dec5c88c1fa96.npz']"
H6,8,0.683,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999990550702357,0.9999990410174123,128.0,1.7821432762854528e-07,1.8047314043201368e-07,"['results/stage6_v1/domain_wall_candidates/cache/6faeffb1baebddca32577d28e995be05f11275c7a093b4492329a7a5054b33f5.npz', 'results/stage6_v1/domain_wall_candidates/cache/742c68f70da4e01e0ef8f25e6335208177fa975ab3ae46eb465b23c29e2d34e0.npz', 'results/stage6_v1/domain_wall_candidates/cache/b55842cbd0b29721127dc48f1b8fe0cf750e12f4437d8bed7a0905a23728c2fa.npz']"
H6,8,0.763,0.375,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9971813710082627,0.9971812223658446,128.0,0.00045611753042551495,0.0004820576821463751,"['results/stage6_v1/domain_wall_candidates/cache/806a7f3084afb3fdbdd990920e4178c54a35a83ecdde644e5f80c05ba0c6efed.npz', 'results/stage6_v1/domain_wall_candidates/cache/268546f23059118fd1ce976a76b4871c8788c5c9611d913ccbe92defa9228ccd.npz', 'results/stage6_v1/domain_wall_candidates/cache/b1f8c87debf368b2c41122456a40c8d76b6c7cee60f2f67e20a1f1cca6bdde94.npz']"
H6,8,0.863,0.515,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9978846738768691,0.9978599470762427,128.0,0.0006106782264988508,0.0006236605175427012,"['results/stage6_v1/domain_wall_candidates/cache/f6bd351ecece4d1d449836ecaec0cd230df741e0a1f07c7dce02f5e2b37eefd7.npz', 'results/stage6_v1/domain_wall_candidates/cache/d8a9f8780b1d6d3d9aff4bfd365aea2941931d8732a365cdebf73620a956922f.npz', 'results/stage6_v1/domain_wall_candidates/cache/be47241340e70124307c6a8a6bc2f965b27fed7e3d8756f068405b88eaef5da0.npz']"
