kappa,L,p,feature,h,value,derivative,preparation_failed,branch_switch,branch_checked,branch_sensitive
0.0,4,0,order,0.05,0.999452672407006,0.021784613334819625,False,False,False,
0.0,4,0,order,0.1,0.9978054112653454,0.04410583233160992,False,False,False,
0.0,4,0,order,0.15,0.995042089173845,0.06670699512259048,False,False,False,
0.0,4,0,order,0.2,0.9911347117530862,0.09000524939080279,False,False,False,
0.0,4,0,order,0.25,0.9860415642347646,0.11431732744093814,False,False,False,
0.0,4,0,order,0.3,0.9797029790089925,0.14007474775264583,False,False,False,
0.0,4,0,order,0.35,0.9720340894595001,0.1678933109040237,False,False,False,
0.0,4,0,order,0.4,0.96291364791859,0.1986586940933872,False,False,False,
0.0,4,0,order,0.45,0.9521682200501614,0.23363066958874334,False,False,False,
0.0,4,0,order,0.5,0.9395505809597157,0.27450675377069267,False,False,False,
0.0,4,0,order,0.55,0.924717544673092,0.3234102783681614,False,False,False,
0.0,4,0,order,0.6,0.9072095531228993,0.3826569080146829,False,False,False,
0.0,4,0,order,0.65,0.8864518538716238,0.45419090222807235,False,False,False,
0.0,4,0,order,0.7,0.8617904629000918,0.5384084632782127,False,False,False,
0.0,4,0,order,0.75,0.8326110075438027,0.6326706437622338,False,False,False,
0.0,4,0,order,0.8,0.7985233985238682,0.729928171084743,False,False,False,
0.0,4,0,order,0.85,0.7596181904353283,0.8187384323739169,False,False,False,
0.0,4,0,order,0.9,0.7166495552864767,0.8863191795543601,False,False,False,
0.0,4,0,order,0.95,0.6709862724798922,0.9402121327090285,False,False,False,
0.0,4,0,order,1.0,0.609682374736307,,False,True,True,True
0.0,4,0,order,1.05,0.5650155633502116,0.8841249127120667,False,False,False,
0.0,4,0,order,1.1,0.5225313099994658,0.815245221317765,False,False,False,
0.0,4,0,order,1.15,0.48349104121843534,0.7398625955203162,False,False,False,
0.0,4,0,order,1.2,0.4485450504474343,0.656863270320061,False,False,False,
0.0,4,0,order,1.25,0.41780471418642917,0.5750920597144065,False,False,False,
0.0,4,0,order,1.3,0.3910358444759936,0.4997215843634315,False,False,False,
0.0,4,0,order,1.35,0.36783255575008594,0.43300387728645306,False,False,False,
0.0,4,0,order,1.4,0.3477354567473484,0.37536235948175367,False,False,False,
0.0,4,0,order,1.45,0.33029631980191054,0.3262240585635672,False,False,False,
0.0,4,0,order,1.5,0.3151130508909917,0.2846018499358962,False,False,False,
0.0,4,0,order,1.55,0.3018361348083209,0.24947929881190234,False,False,False,
0.0,4,0,order,1.6,0.2901651210098014,0.21977090057522863,False,False,False,
0.0,4,0,order,1.65,0.2798590447507981,0.1945773268322757,False,False,False,
0.0,4,0,order,1.7,0.2707073883265738,0.1732064109304714,False,False,False,
0.0,4,0,order,1.75,0.26253840365775094,0.15493818871023013,False,False,False,
0.0,4,0,order,1.8,0.2552135694555508,0.1392444738431542,False,False,False,
0.0,4,0,order,1.85,0.24861395627343552,0.1257262951325564,False,False,False,
0.0,4,0,order,1.9,0.2426409399422952,0.11402440502101285,False,False,False,
0.0,4,0,order,1.95,0.2372115157713342,0.10382077190600958,False,False,False,
0.0,4,0,order,2.0,0.23225886275169422,0.09428534887959028,False,False,False,
0.0,4,0,mx,0.05,0.025008104700674064,0.5001462453846223,False,False,False,
0.0,4,0,mx,0.1,0.05006298633807898,0.5020490201115739,False,False,False,
0.0,4,0,mx,0.15,0.07521300671183145,0.5044730292852272,False,False,False,
0.0,4,0,mx,0.2,0.10051028926660169,0.507996003080024,False,False,False,
0.0,4,0,mx,0.25,0.12601260701983386,0.5128052703292512,False,False,False,
0.0,4,0,mx,0.3,0.1517908162995268,0.519245061644972,False,False,False,
0.0,4,0,mx,0.35,0.17793711318433103,0.527845559210866,False,False,False,
0.0,4,0,mx,0.4,0.20457537222061337,0.5393662585409082,False,False,False,
0.0,4,0,mx,0.45,0.2318737390384219,0.5548362784597876,False,False,False,
0.0,4,0,mx,0.5,0.2600590000665921,0.5754910366091788,False,False,False,
0.0,4,0,mx,0.55,0.28942284269933977,0.6026397374245018,False,False,False,
