kappa,L,p,feature,index,h,height,interval_low,interval_high,step,endpoint,prominence,half_prominence_width,observable_range,coarse_grid_stable,resolved,status,reasons
0.0,6,0.01,mx,19,1.0,0.4611655196575435,0.95,1.05,0.05,False,0.03832882332732668,0.06273755052978357,0.23908165245157936,False,False,not_resolved,"[""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.01,mx,34,1.75,0.07779174544514422,1.7,1.8,0.05,False,0.007381212812537008,0.04552991588282343,0.23908165245157936,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.0,6,0.05,order,3,0.2,-6.412850399506453e-05,0.15,0.25,0.05,False,9.395409697776635e-05,0.24488602554663863,0.0030937066705956917,False,False,not_resolved,"[""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.0,6,0.05,order,10,0.55,-0.00048338987095841723,0.5,0.6,0.05,False,0.00178252221782782,0.047218581370655426,0.0030937066705956917,False,False,not_resolved,"[""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,order,12,0.65,-0.0003955110430493569,0.6,0.7,0.05,False,0.0017025929209153468,0.04533145907451628,0.0030937066705956917,False,False,not_resolved,"[""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,order,15,0.8,0.0068470343940501,0.75,0.85,0.05,False,0.009336090365030136,0.07998673550458185,0.0030937066705956917,False,False,not_resolved,"[""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,order,18,0.95,0.002895427119222971,0.9,1.0,0.05,False,0.0013331664583986491,0.05150985167387408,0.0030937066705956917,False,False,not_resolved,"[""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.0,6,0.05,order,20,1.05,0.003572631350173161,1.0,1.1,0.05,False,0.013748803946083354,0.09532110745407732,0.0030937066705956917,False,False,not_resolved,"[""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,order,23,1.2,0.018482687602199732,1.15,1.25,0.05,False,0.029803531914885273,0.07236462397858485,0.0030937066705956917,False,False,not_resolved,"[""insufficient_observable_range"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,order,26,1.35,0.018407445944970346,1.3,1.4,0.05,False,0.029254595444280662,0.11992677235725253,0.0030937066705956917,False,False,not_resolved,"[""insufficient_observable_range"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,order,34,1.75,0.0023215912046035125,1.7,1.8,0.05,False,0.0005503254427539073,0.10639637457507903,0.0030937066705956917,False,False,not_resolved,"[""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.0,6,0.05,order,39,2.0,0.0019946711960714403,1.95,2.0,0.05,True,0.0,,0.0030937066705956917,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,6,0.05,mx,0,0.05,0.011851696594763511,0.05,0.1,0.05,True,0.0,,0.03898910474963299,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.0,6,0.05,mx,8,0.45,0.04447207265483774,0.4,0.5,0.05,False,0.060303514190587104,0.06791737865078758,0.03898910474963299,False,False,not_resolved,"[""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,mx,11,0.6,0.018566266289977873,0.55,0.65,0.05,False,0.003839639550158591,0.03889928947909702,0.03898910474963299,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,mx,13,0.7,0.022904729130577617,0.65,0.75,0.05,False,0.0021334912045515853,0.03152196286684594,0.03898910474963299,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,mx,15,0.8,0.0404653339980999,0.75,0.85,0.05,False,0.011946708724860006,0.04016534280265898,0.03898910474963299,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,mx,18,0.95,0.03526174376992397,0.9,1.0,0.05,False,0.0009952620558467684,0.03305591901331369,0.03898910474963299,True,False,not_resolved,"[""insufficient_derivative_prominence""]"
0.0,6,0.05,mx,21,1.1,0.04079051272087714,1.05,1.15,0.05,False,0.03469905751662811,0.5876191146156587,0.03898910474963299,True,False,not_resolved,"[""unchecked_branch_switch""]"
0.0,6,0.05,mx,24,1.25,0.036294613232070616,1.2,1.3,0.05,False,0.0039497505417132595,0.05065811635138893,0.03898910474963299,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,mx,28,1.45,0.022383075189342072,1.4,1.5,0.05,False,0.001113089781919041,0.038115588484487976,0.03898910474963299,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.0,6,0.05,mx,32,1.65,0.021648884755535835,1.6,1.7,0.05,False,0.005054173296029252,0.08811059364583969,0.03898910474963299,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.0,6,0.05,mx,37,1.9,0.013500027654319569,1.85,1.95,0.05,False,0.0014652369744345695,0.038379628321731835,0.03898910474963299,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.3,4,0,order,6,0.35,1.0554469505420272,0.3,0.35,0.05,True,0.0,,0.10172239299098851,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0,order,10,0.55,1.4801047204027644,0.55,0.6,0.05,True,0.0,,0.27587794093636175,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0,mx,6,0.35,1.3695030326962305,0.3,0.35,0.05,True,0.0,,0.2675767031150682,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0,mx,10,0.55,1.0441811104467735,0.55,0.6,0.05,True,0.0,,0.2998499706719412,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0.01,order,6,0.35,0.30412085291668234,0.3,0.35,0.05,True,0.0,,0.026495223899350717,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0.01,order,10,0.55,0.7184585336996441,0.55,0.6,0.05,True,0.0,,0.16369876882476825,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0.01,order,17,0.9,0.10673076718941266,0.85,0.95,0.05,False,0.0049586785645374665,0.03254673352113851,0.16369876882476825,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.3,4,0.01,order,25,1.3,0.03836602383136789,1.25,1.35,0.05,False,0.01713151982434402,0.17313311281637545,0.16369876882476825,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,4,0.01,mx,6,0.35,0.6625073466268416,0.3,0.35,0.05,True,0.0,,0.1250770595447869,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0.01,mx,10,0.55,1.3734206951524506,0.55,0.6,0.05,True,0.0,,0.20316629664094443,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0.01,mx,13,0.7,0.9599295368902014,0.65,0.75,0.05,False,0.9730561442861054,0.05381393630594105,0.20316629664094443,False,False,not_resolved,"[""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,4,0.01,mx,16,0.85,0.7448324472469263,0.8,0.9,0.05,False,0.7076620285928836,0.054036649271323435,0.20316629664094443,True,False,not_resolved,"[""unchecked_branch_switch""]"
0.3,4,0.01,mx,23,1.2,0.14246700553944613,1.15,1.25,0.05,False,0.015108816443814455,0.06674940113534777,0.20316629664094443,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,4,0.05,order,0,0.05,-0.001043695644797893,0.05,0.1,0.05,True,0.0,,0.0005424515034036514,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0.05,order,6,0.35,-0.0012490617331875065,0.3,0.35,0.05,True,0.0,,0.0005424515034036514,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0.05,order,12,0.65,0.12847296448691492,0.6,0.7,0.05,False,0.11706689670003545,0.09966898015829032,0.023421146929977016,False,False,not_resolved,"[""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,4,0.05,order,15,0.8,0.04860460356350127,0.75,0.85,0.05,False,0.02795613556192511,0.05280639900014039,0.023421146929977016,False,False,not_resolved,"[""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,4,0.05,order,17,0.9,0.012422562867580034,0.85,0.95,0.05,False,0.009347852125401346,0.2541543129987875,0.023421146929977016,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.3,4,0.05,order,25,1.3,0.005143186450387027,1.25,1.35,0.05,False,0.0029371086825813464,0.2559381870967785,0.023421146929977016,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,4,0.05,mx,6,0.35,0.038034497096781805,0.3,0.35,0.05,True,0.0,,0.005861424072822196,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0.05,mx,10,0.55,0.8290821347288806,0.55,0.6,0.05,True,0.0,,0.08924108492017112,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,4,0.05,mx,13,0.7,0.6452932174605986,0.65,0.75,0.05,False,1.0207158677695882,0.05746333083817721,0.08924108492017112,False,False,not_resolved,"[""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,4,0.05,mx,16,0.85,0.5209378503982246,0.8,0.9,0.05,False,0.5040686956497725,0.04270271902086109,0.08924108492017112,True,False,not_resolved,"[""unchecked_branch_switch""]"
0.3,4,0.05,mx,20,1.05,0.0445271756821799,1.0,1.1,0.05,False,0.0007785449393398203,0.07896140908570635,0.08924108492017112,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.3,4,0.05,mx,23,1.2,0.06336562280629177,1.15,1.25,0.05,False,0.03261494404490817,0.12453396381513011,0.08924108492017112,False,False,not_resolved,"[""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,6,0,order,8,0.45,2.575742802476605,0.4,0.5,0.05,False,2.533323853449226,0.23610723449837573,0.8306262040832149,True,True,resolved,[]
0.3,6,0,mx,8,0.45,1.9322332784777223,0.4,0.5,0.05,False,1.2171991063873997,0.20454434417220302,0.9166459866481923,True,True,resolved,[]
0.3,6,0.01,order,0,0.05,0.41711139744299963,0.05,0.1,0.05,True,0.0,,0.12678880865558612,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.01,order,4,0.25,0.07113669170272097,0.2,0.3,0.05,False,0.10074055209816013,0.05486314907502901,0.12678880865558612,False,False,not_resolved,"[""coarse_grid_unstable""]"
0.3,6,0.01,order,8,0.45,0.7543541571496974,0.4,0.5,0.05,False,0.1434873302911286,0.08882627125651554,0.12678880865558612,False,False,not_resolved,"[""coarse_grid_unstable""]"
0.3,6,0.01,order,14,0.75,0.13996586709806125,0.75,0.8,0.05,True,0.0,,0.04641813621429458,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.01,order,39,2.0,0.013553829563590192,1.95,2.0,0.05,True,0.0,,0.04641813621429458,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.01,mx,0,0.05,0.796781020811918,0.05,0.1,0.05,True,0.0,,0.32059551605883774,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.01,mx,3,0.2,0.4002832895016397,0.15,0.25,0.05,False,0.03416188950250998,0.026448354736769833,0.32059551605883774,False,False,not_resolved,"[""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,6,0.01,mx,6,0.35,1.1742090556830425,0.3,0.4,0.05,False,0.4511559672225838,0.17778545044745245,0.32059551605883774,True,True,resolved,[]
0.3,6,0.01,mx,8,0.45,1.0644403236822257,0.4,0.5,0.05,False,0.011005147739292065,0.027216715320703824,0.32059551605883774,True,False,not_resolved,"[""insufficient_derivative_prominence""]"
0.3,6,0.01,mx,14,0.75,0.34542890377073476,0.75,0.8,0.05,True,0.0,,0.14108472626919843,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
