task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
low_map,8,0.4,0.05,low_field,H6,631,True,33.16279166704044,56752,26718,0.0015682244741545533,2.459328001337325e-06,0.9999999999999991,0.0,0.9999999436709439,0.0,-4.808363563249264,-4.808364655087442,1.3647977226138863e-07,4.127685617305588e-06,3.0076598940276256e-06,1.502641951414696e-05,0.9999988594755261,True,True,True,False,results/stage6_v1/reference_atlas/cache/60b3855ec89501cf026c5d852b422744b4c726ee97bcdb476264bdd7181843f4.npz,physical,ghz,budget,True,True,True,True,20,140,1968,63,58,2321,0.664138957974501,results/stage6_v1/domain_wall_candidates/cache/bb19d4535c2fb6b4751bc765aa3cbb6214a0bdee810a20e414251ea851985c2a.npz
low_map,8,0.4,0.05,low_field,B3,631,True,0.3661832500365563,1441,3984,0.004697581112714684,2.206726831053373e-05,0.9999999999999994,0.0,0.9999907147388498,0.0,-4.808340791868733,-4.808364655087442,2.9829023386884757e-06,5.116234223956351e-05,3.930518250250259e-05,0.00024208613404335527,0.9999696169816236,True,True,True,False,results/stage6_v1/reference_atlas/cache/60b3855ec89501cf026c5d852b422744b4c726ee97bcdb476264bdd7181843f4.npz,physical,ghz,pool_gradient,True,True,True,True,10,66,1152,31,35,276,0.05408758402336389,results/stage6_v1/legacy_b3/adaptive/cache/19f4262bb32ee8d0e92675f933764802bd8311836f8213198ac10b99b6fd8698.npz
low_map,8,0.4,0.075,low_field,C0,631,True,4.512077541963663,15106,6720,0.003702077691798335,1.3705379236110888e-05,0.9999999999999988,0.0,0.9999978201522334,0.0,-4.818906094409433,-4.818912739239111,8.306037097005614e-07,2.961781364407834e-05,2.087269744888154e-05,6.307395187667153e-05,0.9999923083005202,True,True,True,False,results/stage6_v1/reference_atlas/cache/14d1181b978e6c0e0a06c17a91d00576ee25cd71fd61ae55b9138faca6655b6b.npz,physical,plus,budget,True,True,True,True,23,159,2352,64,70,3694,1.1293997920001857,results/stage6_v1/domain_wall_candidates/cache/b886cfdb86b154c6e7c1890afb48bde145baba3651679e04abab2e8126b8a3f1.npz
low_map,8,0.4,0.075,low_field,H6,631,True,60.49306099896785,111204,31200,0.003702077691798335,1.3705379236110888e-05,0.9999999999999988,0.0,0.9999978201522334,0.0,-4.818906094409433,-4.818912739239111,8.306037097005614e-07,2.961781364407834e-05,2.087269744888154e-05,6.307395187667153e-05,0.9999923083005202,True,True,True,False,results/stage6_v1/reference_atlas/cache/14d1181b978e6c0e0a06c17a91d00576ee25cd71fd61ae55b9138faca6655b6b.npz,physical,plus,budget,True,True,True,True,23,159,2352,64,70,3694,1.1293997920001857,results/stage6_v1/domain_wall_candidates/cache/b886cfdb86b154c6e7c1890afb48bde145baba3651679e04abab2e8126b8a3f1.npz
low_map,8,0.4,0.075,low_field,B3,631,True,3.353315543034114,10158,5856,0.010580227375393264,0.00011194121131502104,0.9999999999999989,0.0,0.9999762940743703,0.0,-4.81878771484929,-4.818912739239111,1.562804872756729e-05,0.00028442540542217287,0.00021642747497496728,0.0008619216121125983,0.9998305572533583,True,True,True,False,results/stage6_v1/reference_atlas/cache/14d1181b978e6c0e0a06c17a91d00576ee25cd71fd61ae55b9138faca6655b6b.npz,physical,ghz,budget,True,True,True,True,10,66,1968,31,36,4070,1.260307666962035,results/stage6_v1/legacy_b3/adaptive/cache/014118570db37826d94842a9bc1c160bfa0160a7efd207be1e22d5ff41d5a62d.npz
low_map,8,0.4,0.1,low_field,C0,631,True,4.778080917021725,15541,6720,0.0032700442820027507,1.0693189606258885e-05,0.9999999999999993,0.0,0.9999944533351843,0.0,-4.833864002237805,-4.833869642015465,7.049722074992104e-07,3.42466089326976e-05,2.317047806876804e-05,4.5345561245163646e-05,0.9999938124063542,True,True,True,False,results/stage6_v1/reference_atlas/cache/9424bb361c0500ce8486b978aa021c58edc79c3f49cfed8f0772961ab8edb6b6.npz,physical,plus,budget,True,True,True,True,38,238,2448,96,92,4547,1.4703198749921285,results/stage6_v1/domain_wall_candidates/cache/b7b7e18b1737f04cfa27b78872b15a5cfc88d0749bc09fe2d4d8ffa15fe54273.npz
low_map,8,0.4,0.1,low_field,H6,631,True,65.7001524589723,124565,28650,0.004496850810646035,2.02216672132079e-05,0.9999999999999996,0.0,0.9999992311427146,0.0,-4.833865855236846,-4.833869642015465,4.7334732733439466e-07,8.88865332393518e-06,5.806335833025145e-06,2.364588551798108e-05,0.9999990968805307,True,True,True,False,results/stage6_v1/reference_atlas/cache/9424bb361c0500ce8486b978aa021c58edc79c3f49cfed8f0772961ab8edb6b6.npz,wall,uniform,energy_stagnation,False,False,True,True,53,314,5967,95,130,31174,16.415705041959882,results/stage6_v1/domain_wall_candidates/cache/02da0e55d9e0a83d8d555bd7f94c6a280bf0a056391894535f8c65d8cd9ae903.npz
low_map,8,0.4,0.1,low_field,B3,631,True,5.2817698760773055,14382,6528,0.018939584104323406,0.00035870784604473985,1.0000000000000004,0.0,0.999857690853555,0.0,-4.8334490223842135,-4.833869642015465,5.2577453906410554e-05,0.001057763183645366,0.000792209360473306,0.002253788744204066,0.9993707565403512,True,True,True,False,results/stage6_v1/reference_atlas/cache/9424bb361c0500ce8486b978aa021c58edc79c3f49cfed8f0772961ab8edb6b6.npz,physical,ghz,budget,True,True,True,True,10,66,1968,31,27,3951,1.1805290420306846,results/stage6_v1/legacy_b3/adaptive/cache/cb0b7b58b7f2a743455972a3a1a7cf4da38c0d18b75e950e385298f26f0af8b0.npz
low_map,8,0.4,0.125,low_field,C0,631,True,6.8318220840301365,21497,7056,0.002112892961536907,4.464316666912201e-06,0.9999999999999978,0.0,0.9999998742315015,0.0,-4.853478412231812,-4.853479603635759,1.4892549338174632e-07,7.2013226675160524e-06,4.55702394352997e-06,7.418062846875628e-06,0.9999996329248447,True,True,True,False,results/stage6_v1/reference_atlas/cache/6a080758697dafd2991a6dd3f464356b6116d0678c0c31998edcdf740ea47091.npz,physical,plus,budget,True,True,True,True,53,317,2544,128,133,6728,2.2333131250343286,results/stage6_v1/domain_wall_candidates/cache/504a4ea4b9dbadd57359dc47f2094e4768224e915844111a5797515d54247b80.npz
low_map,8,0.4,0.125,low_field,H6,631,True,64.31579954200424,127550,28323,0.006489975810105492,4.211978601575443e-05,1.0,0.0,0.9999982373946815,0.0,-4.853471164269424,-4.853479603635759,1.054920791943026e-06,3.97307812325387e-05,2.982084753488934e-05,5.724216479222055e-05,0.9999979201528818,True,True,True,False,results/stage6_v1/reference_atlas/cache/6a080758697dafd2991a6dd3f464356b6116d0678c0c31998edcdf740ea47091.npz,wall,alternating,parameter_cap160,False,False,True,True,51,312,8160,95,131,38966,21.817336708016228,results/stage6_v1/domain_wall_candidates/cache/d4d5899bd954d342b3ec8e30fb2657e79fa64b2e9718c87dd5ddc5b4bc39a13b.npz
