task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
development,8,0.0,1.8,interior_control,H6,101,True,7.040001500979997,20042,7632,0.016358453430751724,0.00026759899864607287,1.0000000000000004,0.0,0.9999994409389106,0.0,-15.537356171782315,-15.537373407725461,2.1544928932026863e-06,0.00033857085637661183,8.89253692201164e-05,1.2277379258796017e-05,0.9999988040512081,True,True,True,False,results/stage6_v1/reference_atlas/cache/06e928b646ab84031dc875cf0e87ec09ed25d1372b2e11d1aee3498884e0baf9.npz,physical,ghz,budget,False,False,True,True,51,299,2448,127,120,5690,1.9523558749933727,results/stage6_v1/domain_wall_candidates/cache/d9c7117d323774917db879e0353834ed8a0c368becd72af89a50c70342a6e9df.npz
development,8,0.0,1.8,interior_control,B3,101,True,10.48332629201468,22658,7536,0.08914975697298311,0.00794767916834195,0.9999999999999998,0.0,0.9999453242560551,0.0,-15.536753202095653,-15.537373407725461,7.75257037259891e-05,0.0029079695609289247,0.0015865314335662406,0.000271000543166533,0.999943213394947,True,True,True,False,results/stage6_v1/reference_atlas/cache/06e928b646ab84031dc875cf0e87ec09ed25d1372b2e11d1aee3498884e0baf9.npz,physical,ghz,budget,True,True,True,True,27,147,2448,63,57,5867,2.416732541983947,results/stage6_v1/legacy_b3/adaptive/cache/a72807956fdb42fedd22188d4fc8c7d4cb879ea3a6f7311a66aa7579bff83bac.npz
development,8,0.1,0.2,interior_control,C0,101,True,2.068113916029688,6615,6240,0.000445416078129253,1.983954826560448e-07,1.0000000000000009,0.0,0.9999999961208199,0.0,-7.289278789330677,-7.289278819664648,3.791746361336834e-09,1.9849957921813655e-07,1.0440632691732787e-07,2.703996011127474e-07,0.9999999949087848,True,True,True,False,results/stage6_v1/reference_atlas/cache/d029ee2322cf98303a4f3eebe031772d09abf0229ff04b8a751e848e184b753d.npz,physical,ghz,budget,True,True,True,True,41,289,1968,127,136,2913,0.9004161659977399,results/stage6_v1/domain_wall_candidates/cache/bee603b23d032dc9e8db128859ac123d90009b5b3635ced17e5ccc8379f6fdd4.npz
development,8,0.1,0.2,interior_control,C1,101,True,4.668509248876944,16182,6000,0.005156410402822829,2.658856824233949e-05,1.0000000000000007,0.0,0.9999990045341771,0.0,-7.289270907762452,-7.289278819664648,9.889877744528874e-07,1.4375541621869381e-05,1.0371309378087723e-05,3.4689323782421955e-05,0.9999974216735678,True,True,True,False,results/stage6_v1/reference_atlas/cache/d029ee2322cf98303a4f3eebe031772d09abf0229ff04b8a751e848e184b753d.npz,physical,ghz,budget,True,True,True,True,29,213,1872,95,111,5947,1.6315074999583885,results/stage6_v1/domain_wall_candidates/cache/35bea8b14b340c892005677963d7102ed4d0f60968b488c6748c5f7574803eed.npz
development,8,0.1,0.2,interior_control,C2,101,True,30.63233225105796,48120,24480,0.002472342263058978,6.1124762657075886e-06,0.9999999999999998,0.0,0.9999999057698385,0.0,-7.2892779479046865,-7.289278819664648,1.0896999513843042e-07,2.394779113235046e-06,1.0617552717029355e-06,2.6100001161294406e-06,0.9999998657252022,True,True,True,False,results/stage6_v1/reference_atlas/cache/d029ee2322cf98303a4f3eebe031772d09abf0229ff04b8a751e848e184b753d.npz,wall,uniform,parameter_cap160,True,True,True,True,58,329,8160,95,138,16008,10.033892582985573,results/stage6_v1/domain_wall_candidates/cache/108ff61d3cfe22f3f45eb8aa43e28df9ba2ea88c119e548a6e0666fa1556742a.npz
development,8,0.1,0.2,interior_control,C3,101,True,54.66213666694239,86076,21165,0.002709043605671792,7.338917257431225e-06,0.9999999999999964,0.0,0.9999999372999058,0.0,-7.289277829505433,-7.289278819664648,1.2376990188300852e-07,2.5836466417406e-06,1.2415429186951599e-06,2.4264735239976076e-06,0.9999998640399987,True,True,True,False,results/stage6_v1/reference_atlas/cache/d029ee2322cf98303a4f3eebe031772d09abf0229ff04b8a751e848e184b753d.npz,wall,uniform,energy_stagnation,False,False,True,True,53,316,4998,95,140,20610,10.063741499965545,results/stage6_v1/domain_wall_candidates/cache/34eec7adf241798c7e8339e482b1bbcbf8efdbb556371737e6ffa85d0df2200c.npz
development,8,0.1,0.2,interior_control,H6,101,True,2.068113916029688,6615,6240,0.000445416078129253,1.983954826560448e-07,1.0000000000000009,0.0,0.9999999961208199,0.0,-7.289278789330677,-7.289278819664648,3.791746361336834e-09,1.9849957921813655e-07,1.0440632691732787e-07,2.703996011127474e-07,0.9999999949087848,True,True,True,False,results/stage6_v1/reference_atlas/cache/d029ee2322cf98303a4f3eebe031772d09abf0229ff04b8a751e848e184b753d.npz,physical,ghz,budget,True,True,True,True,41,289,1968,127,136,2913,0.9004161659977399,results/stage6_v1/domain_wall_candidates/cache/bee603b23d032dc9e8db128859ac123d90009b5b3635ced17e5ccc8379f6fdd4.npz
development,8,0.1,0.2,interior_control,B3,101,True,2.9409850009251386,7449,5856,0.030927333762821772,0.0009564999736769755,1.0000000000000004,0.0,0.9999713049017623,0.0,-7.288972727408578,-7.289278819664648,3.826153200869875e-05,0.0002736285357238799,0.0002077284224165643,0.0007906619842755896,0.9998986609223198,True,True,True,False,results/stage6_v1/reference_atlas/cache/d029ee2322cf98303a4f3eebe031772d09abf0229ff04b8a751e848e184b753d.npz,physical,ghz,budget,True,True,True,True,10,66,2064,31,31,3168,1.16090495797107,results/stage6_v1/legacy_b3/adaptive/cache/c579581efd1b51cef92ece5ac5973a9972e1c055087ffbc08f3427f2ca74c3df.npz
development,8,0.2,1.5,interior_control,C0,101,True,8.631932166987099,21878,7632,0.009592205276230585,9.201040206134587e-05,1.0000000000000009,0.0,0.9999994968463859,0.0,-13.180620057081835,-13.180627568492037,9.389262751735572e-07,0.00034285418335393714,9.683020014683574e-05,7.387927035695796e-07,0.9999993071745498,True,True,True,False,results/stage6_v1/reference_atlas/cache/ec5a0372ce326374f1cf62d57f98ab534ac5867d3dd28b9a871ca302e107bc27.npz,physical,ghz,budget,True,True,True,True,38,222,2448,95,88,7329,2.6465944169904105,results/stage6_v1/domain_wall_candidates/cache/c6e9ed313c765a47739c14adf1d67c5915876063cb51325ae911351927b0b1d2.npz
development,8,0.2,1.5,interior_control,C1,101,True,11.509253001015168,33813,7200,0.010745163274826192,0.00011545853380267352,0.9999999999999992,0.0,0.9999994972652801,0.0,-13.180618221579987,-13.180627568492037,1.1683640062098988e-06,0.0002957976462508458,9.593423364478992e-05,3.650457494064341e-07,0.9999991645225665,True,True,True,False,results/stage6_v1/reference_atlas/cache/ec5a0372ce326374f1cf62d57f98ab534ac5867d3dd28b9a871ca302e107bc27.npz,physical,antiphase,budget,True,True,True,True,37,231,2352,96,81,10543,3.486979417037219,results/stage6_v1/domain_wall_candidates/cache/e6d73ba09a811d8f32685fd7144d070bba18ade0fb8cfd43f80734490c225924.npz
