run_id,point,kappa,h,layers,seed,initialization_source,started_utc,fingerprint,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,parameters,cnots,high_level_gates,compiled_unitary_gates,unitary_depth,depth_with_channels,archive_sha256
p00_L6_s23,0,0,0.2,6,23,independent_uniform,2026-09-22T03:41:33.720730+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-8.080202557534093,130,151,151,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7950747594142058e-05,0.03951062500709668,-8.080202559111354,1.9715762356042887e-10,0.9999999998078573,3.076678456448434e-08,9.20688533745384e-09,1.2115379505184265e-07,0.1005101638352069,True,True,True,18,192,152,344,223,367,b806a0447c0985cbff3308df1b54accd62aa3be9290cdb036d5b502a1773bb84
p00_L6_s37,0,0,0.2,6,37,independent_uniform,2026-09-22T03:41:33.765519+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-7.94413786968624,338,374,374,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1375059188800662e-05,0.09701399999903515,-8.080202559111354,0.017008086178139314,0.982691271120625,0.022360001286593656,0.018186513167715357,0.01669089172874734,0.1172011767177493,False,False,False,18,192,152,344,223,367,7b0b03239116061053d533a6c48da504e7d1e73a5c87a46ae7db700525ab8902
p01_L1_s11,1,0,0.9,1,11,independent_uniform,2026-09-22T03:41:33.869628+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.266116543242592,15,19,19,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.7385313511606455e-08,0.001174542005173862,-9.773287658015985,0.06339638934667402,0.7040975537760399,0.6151792110859452,0.39655435323076094,0.22108418793752482,0.775185030557188,False,False,False,3,32,32,64,38,62,d34727ab703166be9d1733097ebbc7383181acde3d7ca610cbbede79522c65ff
p01_L1_s23,1,0,0.9,1,23,independent_uniform,2026-09-22T03:41:33.872711+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.266116543242596,12,15,15,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.1881252365574255e-09,0.0009371250052936375,-9.773287658015985,0.06339638934667358,0.7040975535611678,0.6151792112601976,0.3965543536354606,0.22108418862768775,0.7751850312473509,False,False,False,3,32,32,64,38,62,ba1287931b012037fc318f5795e7193002288c283b8a69d3dfb2622c15dac664
p01_L1_s37,1,0,0.9,1,37,independent_uniform,2026-09-22T03:41:33.875412+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.266116543242596,9,12,12,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.1110529502266218e-07,0.0008149589993990958,-9.773287658015985,0.06339638934667358,0.704097555200661,0.6151792112084121,0.39655435308480325,0.22108418754964865,0.7751850301693118,False,False,False,3,32,32,64,38,62,b005b7d886437880fef74af56caa197bed43e7c2936c4932e0c1bab1c86f3739
p01_L2_s11,1,0,0.9,2,11,independent_uniform,2026-09-22T03:41:33.878291+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.383589123884919,30,37,37,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.799637099736856e-06,0.0036412919871509075,-9.773287658015985,0.04871231676638321,0.7731410277422436,0.5096990633198525,0.32839246817053686,0.18560446815694176,0.739705310776605,False,False,False,6,64,56,120,75,123,5a973d55950b338578549073515d14a4e8dcb44336d4163b7961b6415c34a43f
p01_L2_s23,1,0,0.9,2,23,independent_uniform,2026-09-22T03:41:33.884694+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.304216319956872,23,29,29,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3552173072639562e-07,0.0029234169924166054,-9.773287658015985,0.05863391725738909,0.7172257504222146,0.6156396936026294,0.39083253231633464,0.2108989723908905,0.7649998150105537,False,False,False,6,64,56,120,75,123,7d3f7078ebb2f41949bb2274d51dbccca5276052b5daab9ffd0a9841ea3e1712
p01_L2_s37,1,0,0.9,2,37,independent_uniform,2026-09-22T03:41:33.889947+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-3.3750538492772844,17,23,23,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.494776158989964e-07,0.0023510830069426447,-9.773287658015985,0.7997792260923375,0.2211033732783951,0.5067374640895161,0.3715638670375733,0.5994228367286486,-0.04532199410898541,False,False,False,6,64,56,120,75,123,334b4f7b8488d4d36d98b6778fa6fb98e6666ae46fdf43cad667aab62c4e53c2
p01_L4_s11,1,0,0.9,4,11,independent_uniform,2026-09-22T03:41:33.894663+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.606493763016964,214,250,250,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1722537420766344e-05,0.04571750000468455,-9.773287658015985,0.020849236874877608,0.9394951152266886,0.21813888175309315,0.15497338569188956,0.10902471576798045,0.6631255583876436,False,False,False,12,128,104,232,149,245,8bbe6440fa47445239223d73d58c395fc60c623c75a80f82927323d28d827939
p01_L4_s23,1,0,0.9,4,23,independent_uniform,2026-09-22T03:41:33.944461+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.71699252812931,158,192,192,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.452167752499463e-06,0.0358371670008637,-9.773287658015985,0.007036891235834286,0.9813846810871536,0.11662466123705684,0.07448378983537107,0.047995257970044114,0.6020961005897073,False,False,False,12,128,104,232,149,245,8db32e0e16d22be3fd42ae0540c5914b92d107ddf0cac770236938d4d5862add
