kind,inner_optimizer_calls,optimizer_success,selected_checkpoint_reason,n,kappa,h,ref,seed,budget,seconds,stop,nit,nfev,cnots,joint_pass,delta_e,fidelity,archive,raw_record,used_for_current_comparison,exit_message,energy
energy-only ADAPT campaign,84,False,budget_checkpoint_192,12,0.859849,1.882228,antiphase,11,192,53.10843625001144,budget,10829,11439,192,True,0.0002168520289232608,0.9997778603527955,results/stage5_v1/adaptive/cache/db354061f203802bef2888642f740f3c923b75ccb9b1fb28be3dee8ee99a7e26.npz,results/stage5_v1/adaptive/cache/db354061f203802bef2888642f740f3c923b75ccb9b1fb28be3dee8ee99a7e26.json,,,
energy-only ADAPT campaign,84,False,budget_checkpoint_192,12,0.0,1.0,plus,11,192,48.24985308299074,budget,8558,9074,192,True,0.00021425132661449334,0.9995584046336659,results/stage5_v1/adaptive/cache/bab834e903d7a462aca1c1cd6f1045c69807f013812a00dedf8c923dd911af4f.npz,results/stage5_v1/adaptive/cache/bab834e903d7a462aca1c1cd6f1045c69807f013812a00dedf8c923dd911af4f.json,,,
energy-only ADAPT campaign,44,True,budget_checkpoint_128,8,0.259916,0.338744,ghz,11,128,1.7787187920184806,budget,5147,5529,127,True,6.124421682462966e-06,0.9999878585269042,results/stage5_v1/adaptive/cache/f9298e3dc0086b8c40c15f6b8854ec9916cbbc4304460db036b38a10dff78b2e.npz,results/stage5_v1/adaptive/cache/f9298e3dc0086b8c40c15f6b8854ec9916cbbc4304460db036b38a10dff78b2e.json,,,
energy-only ADAPT campaign,63,True,budget_checkpoint_160,12,0.283123,0.306399,ghz,11,192,17.152654125005938,budget,5118,5472,159,True,0.0001430412034862568,0.998311288484516,results/stage5_v1/adaptive/cache/d35b6c59a88b3502fdc3244c6f6c883993e12405337fe1129f21723819d001ad.npz,results/stage5_v1/adaptive/cache/d35b6c59a88b3502fdc3244c6f6c883993e12405337fe1129f21723819d001ad.json,,,
energy-only ADAPT campaign,51,True,budget_checkpoint_128,8,0.8,0.55,plus,11,128,1.21305887500057,budget,1714,1929,128,False,0.001767745656734765,0.9945586981892868,results/stage5_v1/adaptive/cache/904ccfceab7b1a086bc0185909582941401798ef2eb8c636eebd07f0544b782c.npz,results/stage5_v1/adaptive/cache/904ccfceab7b1a086bc0185909582941401798ef2eb8c636eebd07f0544b782c.json,,,
energy-only ADAPT campaign,46,True,budget_checkpoint_128,8,0.836332,0.354956,antiphase,11,128,0.9685577499913052,budget,2320,2542,128,True,9.989186868719635e-05,0.9996176394422452,results/stage5_v1/adaptive/cache/5fc60e6115b690ee9033b88e7cbcd13634dc9952c257f9466a0ee8c0fe63e986.npz,results/stage5_v1/adaptive/cache/5fc60e6115b690ee9033b88e7cbcd13634dc9952c257f9466a0ee8c0fe63e986.json,,,
energy-only ADAPT campaign,49,True,budget_checkpoint_128,8,0.8,0.525,antiphase,11,128,2.185138958040625,budget,2859,3097,128,False,0.0015779663579231773,0.9940485737262218,results/stage5_v1/adaptive/cache/1fbae490cc1e08e9bfcf72c5ff785d6ddc8e23bdd89f3287a645baeb470ea300.npz,results/stage5_v1/adaptive/cache/1fbae490cc1e08e9bfcf72c5ff785d6ddc8e23bdd89f3287a645baeb470ea300.json,,,
energy-only ADAPT campaign,60,True,budget_checkpoint_128,12,0.935976,1.556669,plus,11,128,25.128314417030197,budget,4978,5359,128,False,0.0011497541662712034,0.9982905947935692,results/stage5_v1/adaptive/cache/371dbc45f9e9462da8f418b76c28df57c7e1652fedc536c0823212f0e6fdd9e2.npz,results/stage5_v1/adaptive/cache/371dbc45f9e9462da8f418b76c28df57c7e1652fedc536c0823212f0e6fdd9e2.json,,,
energy-only ADAPT campaign,89,False,budget_checkpoint_192,12,0.610248,0.212278,plus,11,192,58.24273004202405,budget,10118,10923,192,False,0.0052077583963256275,0.7501127382353425,results/stage5_v1/adaptive/cache/e3c9f9a446516cc69491eb765a18ada121f6fe6e151e27ee00654a6f3270e4f0.npz,results/stage5_v1/adaptive/cache/e3c9f9a446516cc69491eb765a18ada121f6fe6e151e27ee00654a6f3270e4f0.json,,,
energy-only ADAPT campaign,85,True,budget_checkpoint_192,12,0.3,0.4,plus,11,192,44.27110366697889,budget,10114,10694,192,True,3.9479220668011315e-05,0.9998167028288416,results/stage5_v1/adaptive/cache/64873fce768fef26e1169d94a41714e8bc40878d33c636f57d7f3c54166fe6fb.npz,results/stage5_v1/adaptive/cache/64873fce768fef26e1169d94a41714e8bc40878d33c636f57d7f3c54166fe6fb.json,,,
energy-only ADAPT campaign,87,False,budget_checkpoint_192,12,0.440657,0.858741,antiphase,11,192,49.30223287502304,budget,9807,10361,192,True,0.00033401647309686905,0.9991468383514976,results/stage5_v1/adaptive/cache/b75e8f035998ea8c3801c51899e96a289a2b72f9f6063816429190b5e66ba86e.npz,results/stage5_v1/adaptive/cache/b75e8f035998ea8c3801c51899e96a289a2b72f9f6063816429190b5e66ba86e.json,,,
energy-only ADAPT campaign,83,True,budget_checkpoint_192,12,0.517734,0.201329,antiphase,11,192,50.552639750007074,budget,11544,12270,192,False,0.006387724246219732,0.691353345690989,results/stage5_v1/adaptive/cache/bb420019edd379a94ce5c9bfc3d70aaabce0fedbd3f7455b981eb61571b9e7b6.npz,results/stage5_v1/adaptive/cache/bb420019edd379a94ce5c9bfc3d70aaabce0fedbd3f7455b981eb61571b9e7b6.json,,,
energy-only ADAPT campaign,41,True,budget_checkpoint_64,8,0.797489,0.176582,ghz,11,128,1.761560874991119,budget,3505,3826,63,False,0.00016670274890473458,0.5003232550941388,results/stage5_v1/adaptive/cache/a3b97999d10d7d7e1be86a31e6b5edecd16712c3162d92a83caea13901f8b2d5.npz,results/stage5_v1/adaptive/cache/a3b97999d10d7d7e1be86a31e6b5edecd16712c3162d92a83caea13901f8b2d5.json,,,
energy-only ADAPT campaign,56,True,budget_checkpoint_96,8,0.3,0.475,plus,11,128,5.159001916996203,budget,8207,8694,96,True,1.8365416504351195e-05,0.9999516859912183,results/stage5_v1/adaptive/cache/0d788d0daf184bea166bca138b4c292b241d04f3b97518404df8e7c6c9df66f6.npz,results/stage5_v1/adaptive/cache/0d788d0daf184bea166bca138b4c292b241d04f3b97518404df8e7c6c9df66f6.json,,,
