kappa,h,p,estimator,comparison,budget,equal_CNOT_shots_completed,zero_CNOT_control,actual_G,actual_shots,archive,sha256,scientific_fingerprint,disposition
0.0,0.2,0.05,zne_quadratic,equal_gate,100000,True,False,3100000,33334,results/stage6_followup_v1/measurements/5d87d2776f5637a4a536cee039c3b8c7f3dd3adf49ee2a4120d557047cf54b8b.npz,ef2383abf35203fd32d146fd301b027a2da464669f2cfa35cb5de3e30f53cd3a,5d87d2776f5637a4a536cee039c3b8c7f3dd3adf49ee2a4120d557047cf54b8b,newly_executed
0.0,0.2,0.05,sv,equal_gate,100000,True,False,3100000,100000,results/stage6_followup_v1/measurements/0f0068e6b0d23c44c857c87884eac609dc36dd50322add07fb611d87e5feee38.npz,5673fb13b22b1e91a5afc720438b94233ceb6cf52fb6fd2f8081d5cb8ac7c658,0f0068e6b0d23c44c857c87884eac609dc36dd50322add07fb611d87e5feee38,newly_executed
0.0,0.2,0,raw,equal_gate,300000,True,False,9299938,299998,results/stage6_followup_v1/measurements/c2335cce01892bc424c2d71d37340b7abd9eee2951453b24f7ae3bfb6852d8f2.npz,90d91b65077e0c2f630409698a0047f63215245c764b253ec4c9f6c0ec93f694,c2335cce01892bc424c2d71d37340b7abd9eee2951453b24f7ae3bfb6852d8f2,newly_executed
0.0,0.2,0,zne_quadratic,equal_gate,300000,True,False,9299938,100000,results/stage6_followup_v1/measurements/ec90ec8b88d3db20d6080a26b8bc5633558baba93ff63e7423e5c03eb1decda3.npz,585c0c3518641f2685020120cad4d78cbaac5c3c63f5355d7216a78e33678891,ec90ec8b88d3db20d6080a26b8bc5633558baba93ff63e7423e5c03eb1decda3,newly_executed
0.0,0.2,0,sv,equal_gate,300000,True,False,9299938,299998,results/stage6_followup_v1/measurements/352285a60a87f96c7995350599a9acb9b9cb283f53fa3e4a97cefa5a5d295406.npz,41f97e0aeb1d9b478ea9486a17d0bfb886b8ee978feb5fd463e05f44ed0bf3f7,352285a60a87f96c7995350599a9acb9b9cb283f53fa3e4a97cefa5a5d295406,newly_executed
0.0,0.2,0.01,raw,equal_gate,300000,True,False,9299938,299998,results/stage6_followup_v1/measurements/bc2963c8fbbf81d86380f48ec7990b59a8645f0becead73eabf95e7f1f4a28f9.npz,e206f4673efa59d461b2dba8690c9a3c2456e3137c013cc0cbee3932ad35538d,bc2963c8fbbf81d86380f48ec7990b59a8645f0becead73eabf95e7f1f4a28f9,newly_executed
0.0,0.2,0.01,zne_quadratic,equal_gate,300000,True,False,9299938,100000,results/stage6_followup_v1/measurements/d1c53911b1f880d8ad251dfa58da9a3d3a716ab99767b2d2520de3f1dad80ce5.npz,5f9171871f7970cc56a0b5a60ccac34d78b6c78b239f653f881440f27cbb0dca,d1c53911b1f880d8ad251dfa58da9a3d3a716ab99767b2d2520de3f1dad80ce5,newly_executed
0.0,0.2,0.01,sv,equal_gate,300000,True,False,9299938,299998,results/stage6_followup_v1/measurements/8543c4073417111b0f9b3e603045715340d93e8691c603223507475105cc65df.npz,bfb3084afe8d2871cc3d9e317560d3735406e5e6c82932e1933445df78b38b5a,8543c4073417111b0f9b3e603045715340d93e8691c603223507475105cc65df,newly_executed
0.0,0.2,0.05,raw,equal_gate,300000,True,False,9299938,299998,results/stage6_followup_v1/measurements/523e8dcf6c098cc236220075434759a7b24c7b30acf3894637ed0daa5f535f37.npz,fd6760650103d55f3f0936a45a6303d65cb1a35a1753307bf757b69448760f33,523e8dcf6c098cc236220075434759a7b24c7b30acf3894637ed0daa5f535f37,newly_executed
0.0,0.2,0.05,zne_quadratic,equal_gate,300000,True,False,9299938,100000,results/stage6_followup_v1/measurements/c84816059af0e1ad1faac45354c8c08dca59d529e637e8a86c65744fcc7a023d.npz,303ac8e986b457af8b2f9791ec98a6b3c130d9a940da5b6d106ff4b446523410,c84816059af0e1ad1faac45354c8c08dca59d529e637e8a86c65744fcc7a023d,newly_executed
0.0,0.2,0.05,sv,equal_gate,300000,True,False,9299938,299998,results/stage6_followup_v1/measurements/c653ac1278048c035cb86fc638f6b601b23bf220df4e8c769ce42f8505465022.npz,ae537a118893213642049b8d3ca3181a17ada28d82f1ec1599a7d9a4016c9dc8,c653ac1278048c035cb86fc638f6b601b23bf220df4e8c769ce42f8505465022,newly_executed
0.0,0.875,0,raw,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/80d537d2344f61f84e2f106ced334f01204f7f741cc63cc82ec5e21443a33dce.npz,e4e0c49e967ca2f46bd5f34447a263c60287f5a68145d02dbdb7ab3c9ff4b2f6,80d537d2344f61f84e2f106ced334f01204f7f741cc63cc82ec5e21443a33dce,newly_executed
0.0,0.875,0,zne_quadratic,equal_shots,100000,False,False,28799808,100000,results/stage6_followup_v1/measurements/d82746a0ee6222e4c471ac9eb218220490c579d6e8d84c0c980315ff0b24ed59.npz,31341ab7d8b1276447b67add8eabad073df6f98001b13f3d919e3f494f2a48b4,d82746a0ee6222e4c471ac9eb218220490c579d6e8d84c0c980315ff0b24ed59,newly_executed
0.0,0.875,0,sv,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/75d40ba50127b5e4329b044a91a29b4c640c7fb6a8c2fe066b9885d75dcd4ba5.npz,04b6d1f06602c0f6d9d22a2ba6dc456dc92bce9eeeba2e47f2e27646e034283e,75d40ba50127b5e4329b044a91a29b4c640c7fb6a8c2fe066b9885d75dcd4ba5,newly_executed
0.0,0.875,0.01,raw,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/333c962cdecb511c8794a510fcf862fe364dec750ef3adc2026331ef0ebe0928.npz,e0a36d3641b3d9e94c284688c729bdea65fe9ef931179536adacb8e65fa8b3af,333c962cdecb511c8794a510fcf862fe364dec750ef3adc2026331ef0ebe0928,newly_executed
0.0,0.875,0.01,zne_quadratic,equal_shots,100000,False,False,28799808,100000,results/stage6_followup_v1/measurements/aefab40aa15add116a1ce1cd61db86b7961e7a63f49c8e1d91dd3619e7159873.npz,94ddac7069205b18f616d8a757ba58eda515c7101ee1a8103b56f94af54376cc,aefab40aa15add116a1ce1cd61db86b7961e7a63f49c8e1d91dd3619e7159873,newly_executed
0.0,0.875,0.01,sv,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/301d0bcf835e74aaa6143606c50ecb0a15d4d9e8d50422d155a3c3d00e27a6de.npz,2e8f12612b77b81c012d8c5b57e2048e85c9b9e45c4eebe4f5870262ee79f8f8,301d0bcf835e74aaa6143606c50ecb0a15d4d9e8d50422d155a3c3d00e27a6de,newly_executed
0.0,0.875,0.05,raw,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/bec45d03657cd45414b7a10c11ab8266e9573b82fe3a0471a1076fce5193b78b.npz,e0e0072ba9464e3cd8e5c86fc56b54965a91b491e05a713ed694e684d96edefb,bec45d03657cd45414b7a10c11ab8266e9573b82fe3a0471a1076fce5193b78b,newly_executed
