kappa,h,reference_resolvable,parameter_source,parameter_source_sha,gate_hash,complete,historical_reused,newly_executed,combination_count,methods,p,budgets
0.0,1.05,True,results/stage6_v1/legacy_b3/adaptive/cache/4ee59cede345d87efadd873f1ecd3f29b78490ac6284584ee7755dd6aca2f767.npz,73c3692af83f8375d5f5b90781392cbb32342432dd0bdb25e3936d45cd292b98,c0ac64851a85329a34594c81b2e226c42ace99b2fa4c9844044acbeff6f463e5,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,1.0625,True,results/stage6_v1/legacy_b3/adaptive/cache/38b4dbaf2f6e416594fb6045a4907b38a40da81bc57334dc3f4e9976df2e8913.npz,7b74f92964b1505d32adf1d2ba3624c32f54ac9c3e86465d5adf9448477cca4e,eb0df04913bbedc90d0afefe96b7d757749659c3c954040aa2f27a65e00f96eb,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.0,1.075,True,results/stage6_v1/legacy_b3/adaptive/cache/093daee6454b027170a5bae21ed8740505d6d64cda6140a5108a4704a7ddb764.npz,4aaf889ac54842cb1b1307f48b68cb189cd91a7cb4a2321614c220b40a991d11,e6879cabe2b8e59e4e0bfbcfa000acc7fc8df18b540b99e9955e9eb89ea65cc8,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.375,True,results/stage6_v1/legacy_b3/adaptive/cache/509ac9f4d8afe7953f95fde3f0523371bc6b1211908da22a0773d16601bb8a20.npz,60302437958ed9ab264411a9327110c7220d9d6c34061f027dbc30076429a64c,3b283312c3b1afd4c7ed58993df8bc5b56ac8cdac1e0d4ae6c191486f58ac106,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.3875,True,results/stage6_v1/legacy_b3/adaptive/cache/f9f6c7ac5a31115a26ee084ff9b74a82487f0490b2c1edd000522e6af0927291.npz,596daea9fe420b6349b7ba27130a8456d16b7306191622aa1b324f9359c4b2de,578fe142352663fd41e4624e08ff5dae80858014b89545899abb768cf7d59cb3,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.4,True,results/stage6_v1/legacy_b3/adaptive/cache/e14d679a7dc25a73fc24585af98ad50c2a5a0f24bc3b0ae435d0fcf43757930d.npz,77ad8f9637560d59d13806c3912c5ff9af66448687837555431bd5da11f58eb8,4a01f20dd908936d9d54f86e7f64448fd730e7a91ae696fac70de02891bafab7,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.4125,True,results/stage6_v1/legacy_b3/adaptive/cache/0480983902a460ea6fe1316f2318cd6d462f69f8aeef78ecb2f8d4b07f3e33af.npz,84259065863141192d2875a2c47172a8e66e7eed820aaa03ac95387284b9dd23,fd7f886f6d1093de1b9248eac8b4dc594c6fa2a17828e7274c3b3d6c8b344873,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.425,True,results/stage6_v1/legacy_b3/adaptive/cache/ec953a4106e87f5e0452a47b6893efb014943cedaf1c973b1d6d257ac16e50bf.npz,3c48876d61907519b91d58d51a127ab060a48763b155d3abd6d9fbd6c956eabc,cf8305d6a490ed9e5ea98e6975b1577d96fa7fd5699b115b7a7b10b8515a28ad,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.4375,True,results/stage6_v1/legacy_b3/adaptive/cache/dca37b28829fcaadbc74ffda13f85deb4250553dfec6e4e838087cf4103ccc8e.npz,4e8083e797087505e9bb0a9e81f11c7aa1026babdd21f2308fa79605c09c8ee5,4834dd9894808d64a1940bb789a2e674559e72aa144cafc745291387d94bfac7,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.45,True,results/stage6_v1/legacy_b3/adaptive/cache/2e1211c8158706451b22b12871f917e7e650978f2d3b168883926b7f0ed00172.npz,a880fa5296fc4b260ffb54d32022bec3a2f3740305197419702a0f434f06722f,08b710bf208f598c1597060bc5bf3616dc797c40e2082ce12d91ee23cc05ca00,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
