category,record,archive,n,kappa,h,p,seconds,nfev,nit,pool_gradient_evaluations,simulated_shots,gate_weighted_simulated_shots,shared_counts_source,disposition,record_sha256
finite_measurement,results/stage6_v1/end_to_end/measurements/a53facad796fe06e4e8feeec8b71ad39769ae9b0b2b2bc0403c25259783435be.json,results/stage6_v1/end_to_end/measurements/a53facad796fe06e4e8feeec8b71ad39769ae9b0b2b2bc0403c25259783435be.npz,8,0.45,0.35,0.05,0.00919966702349484,0,0,0,0,0,results/stage6_v1/end_to_end/measurements/6fa7193bf7835c39aaafc20dde042c8a37978559b824fc99cfcb8f94b3a7e6e0.npz,new_analysis_of_shared_ZNE_counts_no_additional_quantum_samples,7ec0b77d4aef475cdfca3f1bc4f1a70767148befeda1d7e487928314b82851ae
finite_measurement,results/stage6_v1/end_to_end/measurements/a540c7181b361448ca15f1b1730c751fe61a0e908256ba7b9b679b38dd213517.json,results/stage6_v1/end_to_end/measurements/a540c7181b361448ca15f1b1730c751fe61a0e908256ba7b9b679b38dd213517.npz,8,0.597,0.018,0,0.022099750000052154,0,0,0,3520000,168957952,,newly_executed,8ed1ed9f3a3da826af59422aa4d67c45704f35c0e906b449ff9069aec2d4e46c
finite_measurement,results/stage6_v1/end_to_end/measurements/a54254032b71521fc127bf25c6832f35325a60f577b0f51dbeb9637dcf9fcfdd.json,results/stage6_v1/end_to_end/measurements/a54254032b71521fc127bf25c6832f35325a60f577b0f51dbeb9637dcf9fcfdd.npz,8,0.2,1.0,0,0.012808125000447035,0,0,0,0,0,results/stage6_v1/end_to_end/measurements/70bcb6e9a6ff5f7d7187fdcafc74604c11a7d281ace3c7c977af9568fcd5f0d3.npz,new_analysis_of_shared_ZNE_counts_no_additional_quantum_samples,714f26625d22292ff9dc99e0e08a80642210eb82138028bfbc55c35e928e2885
finite_measurement,results/stage6_v1/end_to_end/measurements/a553c32d2a2351abf17baa35f3bda8cdea45c06e4bf59ff04f483c75ecbcd452.json,results/stage6_v1/end_to_end/measurements/a553c32d2a2351abf17baa35f3bda8cdea45c06e4bf59ff04f483c75ecbcd452.npz,8,0.8,0.6,0.01,0.008556957996916026,0,0,0,0,0,results/stage6_v1/end_to_end/measurements/9c9b1ae921922f9531b38598ac628767ebeefd8e05eda69aa850ae4e730541b2.npz,new_analysis_of_shared_ZNE_counts_no_additional_quantum_samples,a85dc29ac80f4614097b206b4939468d2b8f5f499b84960109477ff0b307093c
finite_measurement,results/stage6_v1/end_to_end/measurements/a558f47598f4fb8d2ec788ef20969381b7fd7203b7e43b37bb3349e8dbb3b5b3.json,results/stage6_v1/end_to_end/measurements/a558f47598f4fb8d2ec788ef20969381b7fd7203b7e43b37bb3349e8dbb3b5b3.npz,8,0.55,0.15,0.01,0.02045879204524681,0,0,0,3520000,447040000,,newly_executed,504118a30bbb7a5de0038723919e186164b815cb9b48477b5c650f4c62a6b6dd
finite_measurement,results/stage6_v1/end_to_end/measurements/a55a2abf38f425564fcae6c7982a0b89be6f4a1a1966338fccd91af11c6a7a88.json,results/stage6_v1/end_to_end/measurements/a55a2abf38f425564fcae6c7982a0b89be6f4a1a1966338fccd91af11c6a7a88.npz,8,0.475,0.15,0,0.013768041972070932,0,0,0,3520000,447040000,,newly_executed,a7333b8a051106a6f299350e07fa3e05e1700d48ee40637f00ab847ff9fd5d53
finite_measurement,results/stage6_v1/end_to_end/measurements/a55b794fcec8d73b606a50aa1878ccee58acef98d7b52e3690b0788befa30e12.json,results/stage6_v1/end_to_end/measurements/a55b794fcec8d73b606a50aa1878ccee58acef98d7b52e3690b0788befa30e12.npz,8,0.523,0.013,0,0.017633958952501416,0,0,0,3520000,63359232,,newly_executed,798d7e25e85d91ca1357ac998832768041711fd8aff37dec175b3e1dcc14399a
finite_measurement,results/stage6_v1/end_to_end/measurements/a55e601fc6987d3396d93399497b426a9e82ae9b8bf2d38503cbbbaa4cfe5d1e.json,results/stage6_v1/end_to_end/measurements/a55e601fc6987d3396d93399497b426a9e82ae9b8bf2d38503cbbbaa4cfe5d1e.npz,8,0.4,0.7,0.05,0.05483679100871086,0,0,0,3520000,1341103744,,newly_executed,5952764479de465d96caffda870bc8759944349cb08891795bc4ff43303900b1
finite_measurement,results/stage6_v1/end_to_end/measurements/a56203bdcf3e7ede4fbcd4d59af75e1745edf9ca9cb24052993cda418cffef22.json,results/stage6_v1/end_to_end/measurements/a56203bdcf3e7ede4fbcd4d59af75e1745edf9ca9cb24052993cda418cffef22.npz,8,0.35000000000000003,1.1,0.01,0.01153983297990635,0,0,0,0,0,results/stage6_v1/end_to_end/measurements/3e3cccf17f9e997bf67330938c0548529977dbce264abe46f142917e04347b34.npz,new_analysis_of_shared_ZNE_counts_no_additional_quantum_samples,d5acbfc2842c12ee27e467688ccbd200db1d8b5ce326ecea9c8bbd4095ee6226
finite_measurement,results/stage6_v1/end_to_end/measurements/a567ea1deab98ee34300808483525db11523252e971879509a4b00a38b363a81.json,results/stage6_v1/end_to_end/measurements/a567ea1deab98ee34300808483525db11523252e971879509a4b00a38b363a81.npz,8,0.15000000000000002,0.6000000000000001,0,0.02158608299214393,0,0,0,3520000,450560000,,newly_executed,e1ef691a315de2c213990df4bb17696fd9a23a7677d02e5886e2936350c93d50
finite_measurement,results/stage6_v1/end_to_end/measurements/a56f6c05a90c63f66abb40218eb3b428bad9929721c38a1c3e242d823740bdd7.json,results/stage6_v1/end_to_end/measurements/a56f6c05a90c63f66abb40218eb3b428bad9929721c38a1c3e242d823740bdd7.npz,8,0.65,1.5,0,0.010905041999649256,0,0,0,0,0,results/stage6_v1/end_to_end/measurements/4eb2ca164ba09583f47afc223f9c968595fc70eb50b36d3dec765a2272c5b853.npz,new_analysis_of_shared_ZNE_counts_no_additional_quantum_samples,ba5d1a682076d24a9407a5e38dd7069558d5b25f5f4ae4eac9789471863d7267
finite_measurement,results/stage6_v1/end_to_end/measurements/a57159f13150081327a80083330cd2e4f0782f6c831ec4288db198263ca95632.json,results/stage6_v1/end_to_end/measurements/a57159f13150081327a80083330cd2e4f0782f6c831ec4288db198263ca95632.npz,8,0.575,0.05,0,0.0077658750233240426,0,0,0,3520000,112640000,,newly_executed,a05851a91a3195471823c2a24e92f372e57dfa1c9b4927a7c3a320f73da4758d
finite_measurement,results/stage6_v1/end_to_end/measurements/a5758282ab6c2b9ac1b4ee60e33b796faaf13227170c8a8e7ef26b824857022f.json,results/stage6_v1/end_to_end/measurements/a5758282ab6c2b9ac1b4ee60e33b796faaf13227170c8a8e7ef26b824857022f.npz,8,0.575,0.075,0.01,0.04496804199879989,0,0,0,3520000,1351663616,,newly_executed,cfb19b6b2fca0101896b66cffc7cb9fef6400ccacc1990999abb897d2b8c2ed9
