pair_index,pair_type,method,p,trace_distance,XZ_total_variation,classical_minus_quantum,known_binary_single_copy_optimal_error,oracle_error_10k,oracle_error_100k,oracle_error_1M,D4_same_output,D5_same_output,D4_any_reject,D5_any_reject,interpretation,counts,independent_opposite_phase_labels
2,RN_feature_sides,H6,0.01,0.12917246018812584,0.06790693669815037,-0.061265523489975465,0.43541376990593705,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/8019639385d19ab7f1671bf5e942a63af8fd26a3985843fd37725bece746a709.npz,False
2,RN_feature_sides,H6,0.05,0.054300476060078706,0.033743171607116,-0.020557304452962707,0.47284976196996065,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/d9b0891d4feecee2ae2e542637e828c24aba05147d3e18e6dc78364e830c6355.npz,False
3,RN_feature_sides,B3,0,0.16900559088192285,0.14163371681554116,-0.027371874066381696,0.4154972045590386,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/beb1ab0140c5782e84b95359a36ad27728a62eb893620b1f66d7471953c761f2.npz,False
3,RN_feature_sides,B3,0.01,0.2532429376752183,0.12574168233930616,-0.12750125533591217,0.37337853116239084,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/83212a327188bc92176edb34f37117292a9a6a72815734d622c37c88a9be0134.npz,False
3,RN_feature_sides,B3,0.05,0.1321171735763324,0.07672239025898146,-0.05539478331735094,0.43394141321183377,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/1aa15b809caaf6aac1910b47257f768e024f07be60e8f08f157aea87c6b24807.npz,False
3,RN_feature_sides,H6,0,0.17113045796990267,0.14300587390864816,-0.02812458406125451,0.41443477101504866,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/dbd4b6427cfcb141e3c8a2c19ed6284af5541911f82eced96e1d6070761bd329.npz,False
3,RN_feature_sides,H6,0.01,0.20700430284895793,0.11712982637330921,-0.08987447647564872,0.39649784857552106,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/64bc95c441244b52ba20147cab45a7b38dd064951588937903411207d95da93c.npz,False
3,RN_feature_sides,H6,0.05,0.09337333316072909,0.05998485538212571,-0.033388477778603376,0.4533133334196355,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/0064a029fd2c632cfb80095151e9a34078c68e038b640a15eb34ad5a4fdf349d.npz,False
4,RN_feature_sides,B3,0,0.5274905860502357,0.4014614268176795,-0.1260291592325562,0.23625470697488216,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/f5f6c8fa12a28f8d0f581b6ffd3086db5400e5321065f8d366d9344e31fbaff9.npz,False
4,RN_feature_sides,B3,0.01,0.4784278774090721,0.2814621446768537,-0.1969657327322184,0.26078606129546394,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/b18b04a274bc19716d08bdd81f904d902e2ae673891d8e3932dd8f44c2eabcc8.npz,False
4,RN_feature_sides,B3,0.05,0.17445521624467658,0.10196114969529971,-0.07249406654937687,0.4127723918776617,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/f3ab6f23a1850d8ff361f6d8d8c393d46583528be3db97bf73b14db0fb78e166.npz,False
4,RN_feature_sides,H6,0,0.651063270598855,0.49986402701744403,-0.151199243581411,0.17446836470057248,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/a1be8da63343ae7aec484c9284d175cc247e525b4e274c59f98440a0192916a1.npz,False
4,RN_feature_sides,H6,0.01,0.4812494127397131,0.2977527326799281,-0.18349668005978503,0.25937529363014344,0.0,0.0,0.0,False,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/d3e99de838164298613a4588e29035c93bb330b63e3a40e0fccce94310c78daf.npz,False
4,RN_feature_sides,H6,0.05,0.1709282822441075,0.10707351649332726,-0.06385476575078024,0.41453585887794625,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/0d25fb0138edc337fcb7671999ec8a0f4a43df1c710d0657899b796ece8e4175.npz,False
5,RN_feature_sides,B3,0,0.8126430172842456,0.6350107439545687,-0.1776322733296769,0.0936784913578772,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/93041285fd662920a5d0538951637f0fa82943579d63ae2fc4ef86d7b29b6fe3.npz,False
5,RN_feature_sides,B3,0.01,0.7221334003194928,0.4739397496165133,-0.2481936507029795,0.1389332998402536,0.0,0.0,0.0,False,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/56f323ea81cea4f6bbb068328a345f76da598b3624a55d1710369aebadebd0f5.npz,False
5,RN_feature_sides,B3,0.05,0.3575686112618278,0.20667968077473103,-0.15088893048709678,0.3212156943690861,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/5bb6169edb6968cad5769a3ae3c3977fd37d1b36fb981581104738467e69310d.npz,False
5,RN_feature_sides,H6,0,0.8872383889663011,0.6956280805405705,-0.19161030842573068,0.05638080551684943,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/4d84008f66fd87c239b0d78bb8e0f9080e136e693471bb838f8fc4940ea1f09c.npz,False
5,RN_feature_sides,H6,0.01,0.6632472971520373,0.4077062027431642,-0.2555410944088731,0.16837635142398133,0.0,0.0,0.0,False,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/3baa990a176e9a407725013a4dc01e40f26624365c19c5c27e915ff9df9ecc18.npz,False
5,RN_feature_sides,H6,0.05,0.2598394582493933,0.16031469126620485,-0.09952476698318846,0.3700802708753034,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/fa484a569a74a1a50800194ffa0f601b90750bfc778e1c06ca35d36fb48adf2b.npz,False
6,RN_feature_sides,B3,0,0.7310350865061384,0.5137277035095482,-0.21730738299659014,0.13448245674693082,0.0,0.0,0.0,True,True,False,False,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/0c65331b94911d58cd90dc4b196245379d26154bca93b144a32109c0efb4711d.npz,False
6,RN_feature_sides,B3,0.01,0.6649708087044768,0.4168441793671739,-0.2481266293373029,0.1675145956477616,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/39bb4a919543933f70414dee8920ad0f6ecb39e0bf0752208fe55fa939e17553.npz,False
6,RN_feature_sides,B3,0.05,0.3032821820262327,0.18748081581529646,-0.11580136621093623,0.34835890898688365,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/ed93e40c88fecd4f2770ac0dc2344bf879cac20254db41c0a26aef00dfff8b21.npz,False
6,RN_feature_sides,H6,0,0.9866787277977342,0.8306621499855129,-0.15601657781222134,0.006660636101132877,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/e30523de5c03f6bf3aa0987462c8511379500102017cadc5616f6558b8e23153.npz,False
6,RN_feature_sides,H6,0.01,0.7818018359644021,0.5711242508388356,-0.21067758512556656,0.10909908201779894,0.0,0.0,0.0,False,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/bd8b3f43a7516f859ec039b0f2fe994195568e0f1d773ba128e150783fb2b733.npz,False
6,RN_feature_sides,H6,0.05,0.32353297775646295,0.22604896080977752,-0.09748401694668543,0.3382335111217685,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/8e30a8e67954984be65975f3d20223385807259090250d408aa11dc65d1ee84c.npz,False
7,RN_feature_sides,B3,0,0.9989934065808657,0.8544053903085913,-0.14458801627227436,0.0005032967095671692,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/9e0852252b334de5f296e3ef79b497f38078922b85ae6af1732a9288dbb4be67.npz,False
7,RN_feature_sides,B3,0.01,0.930531776008688,0.7406726162695494,-0.18985915973913858,0.034734111995656014,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/8bb410053c7ea63ce6d0a79981c3bf31bd6018a3c3064f93ae6e428ae3f989c8.npz,False
7,RN_feature_sides,B3,0.05,0.6226169990536127,0.4484707529580615,-0.17414624609555118,0.18869150047319366,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/21793c39c3b10f04bfc17407a198f19bcf20e8f39d19ea89c8c4868b1f9f101b.npz,False
7,RN_feature_sides,H6,0,0.9932395272308902,0.8473967881179469,-0.1458427391129432,0.0033802363845549244,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/b1dd0af03a95e69c30e2701babe7817ed3b96cc734c65bfa100e1f8662b0ac87.npz,False
7,RN_feature_sides,H6,0.01,0.7773365018514865,0.5713690250586213,-0.2059674767928652,0.11133174907425675,0.0,0.0,0.0,False,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/9a8a8d940db50ee91e3300c8b3e743c679615dad9efd24991fae6b8f9b8c142d.npz,False
7,RN_feature_sides,H6,0.05,0.3169755271136385,0.21292710151531413,-0.10404842559832439,0.34151223644318074,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/5d7c1d3da516fbeff2e7534cae0eb7426baf050fa2ceb5671bac6aea90c53f1c.npz,False
8,RN_feature_sides,B3,0,0.09231549225389374,0.06099070113599301,-0.03132479111790073,0.4538422538730531,0.0,0.0,0.0,False,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/08926e0358f062d1c879cd06a4a9b68ec078c6d5dc6852ad495f83c4284f2aac.npz,False
8,RN_feature_sides,B3,0.01,0.16786451063933633,0.0685485466902578,-0.09931596394907853,0.4160677446803318,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/8cfe4ff57340b56cca0ad72361af06f2bd97eac765388bc7e8693ab7c4ecca04.npz,False
8,RN_feature_sides,B3,0.05,0.07558169798754633,0.04158275981707634,-0.033998938170469985,0.46220915100622684,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/5afcd3a218f1fffa51fafaf63addc3e3a7fe94fd705bbaaecf63a614f16b3a10.npz,False
8,RN_feature_sides,H6,0,0.07495770996358672,0.05318285717347865,-0.021774852790108074,0.4625211450182066,0.0,0.0,0.0,False,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/2f73240ffdfa44554f2c2364409e6eb5cfc6a0803ef20811d54d8e8897130620.npz,False
8,RN_feature_sides,H6,0.01,0.16109762735725164,0.08200954645840408,-0.07908808089884756,0.4194511863213742,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/e14757d755af9af104261675c7a9e951ed139722685d7a727b601dad0ab3dccc.npz,False
