window,h,p,epsilon_c,epsilon_sf,epsilon_mx,branch_sensitive,both_preparations_pass
W1,0.75,0,0.000523179808169072,0.0003261016652924553,0.00042364701693953233,False,True
W1,0.75,0.01,0.07930659596689851,0.031088456224113048,0.07661704615010462,True,True
W1,0.75,0.05,0.01578090397921708,0.0045167024853621784,0.019763834122195536,False,True
W1,0.7625,0,0.0005182418508560271,0.0003317851981690101,0.00041031577862399304,False,True
W1,0.7625,0.01,0.07793276285642137,0.03053172844633162,0.07641739498546701,True,True
W1,0.7625,0.05,0.015614062122553297,0.004455137014069757,0.019953202676423414,False,True
W1,0.775,0,0.0029381244048906074,0.0020492661516585686,0.0019328379497620674,False,True
W1,0.775,0.01,0.07602657955174064,0.025502259511726133,0.07699934246912893,True,True
W1,0.775,0.05,0.015553803778013808,0.0048735104447274885,0.01762931423464701,False,True
W1,0.7875,0,0.0029401347445282555,0.002044587432164846,0.0018967610579631589,False,True
W1,0.7875,0.01,0.07484415992811658,0.02493931241731595,0.07649293277539393,True,True
W1,0.7875,0.05,0.015414071089531654,0.004833767818886656,0.017651987465350707,False,True
W1,0.8,0,0.002907584294637555,0.0020095095083247916,0.0018312645124235472,False,True
W1,0.8,0.01,0.07356794428728808,0.02429321540309254,0.07426772627282702,True,True
W1,0.8,0.05,0.015288132681085849,0.004849064417716542,0.0173056575282266,False,True
W1,0.8125,0,0.002854314715146522,0.00195769353274855,0.0017489183189178248,False,True
W1,0.8125,0.01,0.07258844705789524,0.02399343510003743,0.07384899170850512,True,True
W1,0.8125,0.05,0.015188159228390341,0.004793397485479661,0.017485008268588474,False,True
W1,0.825,0,0.008994147856467016,0.006117311852900875,0.004614071771526784,False,True
W1,0.825,0.01,0.08211312178657437,0.0318520653568332,0.042165387360197315,True,True
W1,0.825,0.05,0.014208836771697944,0.0052537651477346375,0.0014608074051802242,False,True
W1,0.8375,0,0.008723858005164842,0.0058690865353482335,0.0043057112409500276,False,True
W1,0.8375,0.01,0.08243198022865539,0.03148834246019479,0.03991310180562002,True,True
W1,0.8375,0.05,0.014368731884908767,0.0052106864362955335,0.000875170141915696,False,True
W1,0.85,0,0.008352522673852003,0.005562346036358412,0.0039677690063775195,False,True
W1,0.85,0.01,0.08292807932488971,0.031169348355827076,0.036359677310088045,True,True
W1,0.85,0.05,0.014694856336273421,0.005227791294726877,2.0819686742480636e-05,False,True
W1,0.8625,0,0.007917767982834834,0.005217960970765545,0.0036126813797885404,False,True
W1,0.8625,0.01,0.08251812569561812,0.03073424134490753,0.03466089195643435,True,True
W1,0.8625,0.05,0.014731111100218866,0.0051843050277809305,0.000300465057518913,False,True
W1,0.875,0,0.007438191654526083,0.004849516992282532,0.0032526138409305627,False,True
W1,0.875,0.01,0.0817567448804759,0.03025069552965219,0.03313435172759832,True,True
W1,0.875,0.05,0.014729848263643364,0.005140028424416826,0.000554648040014448,False,True
W1,0.8875,0,0.006936050727244014,0.004471864078267718,0.0028991294464653095,False,True
W1,0.8875,0.01,0.0808675533881062,0.029742018527788752,0.03160509027988112,True,True
W1,0.8875,0.05,0.014706029395735093,0.005092736678425053,0.0007896102563095184,False,True
W1,0.9,0,0.006400951728025239,0.004081832295244503,0.00255471249265371,False,True
W1,0.9,0.01,0.08051824398792629,0.02927996849127823,0.028037614336023087,True,True
W1,0.9,0.05,0.014950401113042192,0.0051133575659814134,0.0015617583170814756,False,True
W1,0.9125,0,0.005887549994626484,0.0037117868334811677,0.0022354587138738724,False,True
W1,0.9125,0.01,0.07955681904076956,0.028742757930821594,0.02640778602579219,True,True
W1,0.9125,0.05,0.014909256325813313,0.005059193970659848,0.0018258573886790266,False,True
W1,0.925,0,0.005369396643531532,0.0033439716544310105,0.0019312909625335273,False,True
W1,0.925,0.01,0.0775854138356113,0.028049110267374514,0.025511445243946884,True,True
W1,0.925,0.05,0.014741921304098043,0.004999781888281443,0.0017962572743796222,False,True
W1,0.9375,0,0.008327876203290674,0.0051675267778025225,0.0028539565750416163,False,True
W1,0.9375,0.01,0.08820391455145105,0.028809484106625094,0.00753095437705964,True,True
W1,0.9375,0.05,0.016970090108068665,0.005168537304487936,0.012716784513264166,False,True
W1,0.95,0,0.007683940934413158,0.004699904474025018,0.0025603342556608233,False,True
W1,0.95,0.01,0.0875821836789559,0.028417222239065038,0.010889157608996614,True,True
W1,0.95,0.05,0.017006910140377897,0.005140789476578797,0.013433824594564603,False,True
W1,0.9625,0,0.007069446516244637,0.004262688555309868,0.0022870769465194174,False,True
W1,0.9625,0.01,0.08709953569229847,0.028017087962376924,0.015478304208204452,True,True
W1,0.9625,0.05,0.017291538345402556,0.005180725261513766,0.0145633898254123,False,True
