name,kappa,h,layers,seed,source,reference_source,archive,archive_sha256,end_to_end_seconds,cache_status,created_utc,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,failed_metrics,method,old_iterations_in_source
B_point01_attempt4,0.4,0.4,6,701,"uniform[-.5,.5]",results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point01_attempt4.npz,133388297ba25191881df5c955d2fcb4709baed356aca4781dde4b5ec057fcab,0.34831295799813233,executed,2026-09-22T05:41:21.942968+00:00,-5.764812127945715,1233,1348,1348,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.512969052963058e-06,0.3454678750131279,-5.775447072602711,0.0013293680821244713,0.9909670617118721,0.09633438916787349,0.046484633630833994,0.0010523368013605205,0.6563518340135045,False,True,False,"[""delta_e"", ""epsilon_c"", ""epsilon_sf""]",independent_cold,0
B_point01_attempt5,0.4,0.4,6,809,"uniform[-.5,.5]",results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point01_attempt5.npz,dd6fb9549eefc58f6612b96dfaf353b544a10deed481654bef01ec5573386b64,0.20964737501344644,executed,2026-09-22T05:41:22.152959+00:00,-5.770578097439314,724,796,796,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.672954603383687e-06,0.20716729201376438,-5.775447072602711,0.0006086218954246547,0.9973065328298564,0.04864684439434622,0.02299872467934147,0.0005964894791973263,0.6580006602940623,False,True,False,"[""epsilon_c"", ""epsilon_sf""]",independent_cold,0
B_point02_attempt0,0.45,0.2,6,101,results/stage3_v1/optimization/cache/ebe1d78b1e9afcca38fba71ea3c9c05f111a1d0c34963f273bed61b010593017.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point02_attempt0.npz,08eafc86ebae615b2706263c35bec006f33522cd00355ac253a275a672ca5a12,0.0029154169897083193,executed,2026-09-22T05:41:22.157950+00:00,-4.780774355046106,1,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.5640546324251545e-06,0.0011395420006010681,-4.784859553179641,0.0005106497666917953,0.9977845292011448,0.03164226125795744,0.01097770035775257,0.002343086285074736,0.5477871213776058,False,True,False,"[""epsilon_c""]",parameter_resume,535
B_point02_attempt1,0.45,0.2,6,211,results/stage3_v1/optimization/cache/54a365f314836f2daa983aaa3fe3a9aa8b40148abebc05a9e3108368114e2e5a.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point02_attempt1.npz,b2f494e27398ee5491751747bcb4f1de994302d2d68aac3c3aeda3246ef9e9cb,0.0029769160028081387,executed,2026-09-22T05:41:22.161189+00:00,-4.777821875428623,1,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.295209268067595e-06,0.0011915829963982105,-4.784859553179641,0.0008797097188771863,0.9914227972978086,0.05814007404229754,0.022350331298174445,0.0019062839325542091,0.5473503190250852,False,True,False,"[""epsilon_c"", ""epsilon_sf""]",parameter_resume,261
B_point02_attempt2,0.45,0.2,6,307,results/stage3_v1/optimization/cache/456d14a6ba54f4137e04cefb6edce28a4887ef8e11f2f69a60b1f2ab764d65e8.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point02_attempt2.npz,c588437f98474260af3d74140b93986d94c31e39fc0b914e354882f50512d53a,0.0929432499979157,executed,2026-09-22T05:41:22.254411+00:00,-4.757915060829326,325,345,345,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.5107758252550525e-05,0.09074937499826774,-4.784859553179641,0.0033680615437893247,0.9335789403487359,0.2541393884227907,0.13144607757394422,0.020740658213995955,0.5247033768785351,False,False,False,"[""delta_e"", ""epsilon_c"", ""epsilon_sf"", ""epsilon_mx"", ""fidelity""]",neighbor_initialization,750
B_point02_attempt3,0.45,0.2,6,101,results/stage3_v1/optimization/cache/818d6960bbc2e12d40c8fd0847ef93c8c8a69e5e00cac26def03dfeb88ffd2fb.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point02_attempt3.npz,22be682e5970b2505239873ece07da46b92a4e96e37e6c3ef29bf3b4d0d999bf,0.051830250013154,executed,2026-09-22T05:41:22.306511+00:00,-4.780774355140775,178,188,188,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.0267121161649015e-06,0.04953829199075699,-4.784859553179641,0.0005106497548582611,0.9977847657570702,0.03163751249279284,0.010974825767274113,0.002343713989692242,0.5477877490822233,False,True,False,"[""epsilon_c""]",neighbor_initialization,195
B_point02_attempt4,0.45,0.2,6,701,"uniform[-.5,.5]",results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point02_attempt4.npz,c542b42d3303a6fb0cd2c02c6d51b65283da3605b6e4e05c506253ac2ca88d30,0.16481225000461563,executed,2026-09-22T05:41:22.471733+00:00,-4.775688028358212,581,636,636,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3439196148379295e-05,0.1625695000111591,-4.784859553179641,0.0011464406026785445,0.9945975331665575,0.0534793191756921,0.021057876160679154,0.0024677517223711254,0.5479117868149022,False,True,False,"[""delta_e"", ""epsilon_c"", ""epsilon_sf""]",independent_cold,0
B_point02_attempt5,0.45,0.2,6,809,"uniform[-.5,.5]",results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point02_attempt5.npz,0d22ebcf88539e892d2547432c00b0ae3ebf225efcd1ba2a09ffce3807882fad,0.1670734170184005,executed,2026-09-22T05:41:22.639081+00:00,-4.773880878844843,568,634,634,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.773548856398577e-05,0.16457841600640677,-4.784859553179641,0.0013723342918496861,0.9897251738323419,0.07863586773526876,0.030049845910444586,0.003750156597268517,0.5491941916897995,False,False,False,"[""delta_e"", ""epsilon_c"", ""epsilon_sf"", ""fidelity""]",independent_cold,0
B_point03_attempt0,0.5,0.1,6,211,results/stage3_v1/optimization/cache/1cf0741eb30fe4710f8a709681bcc45db4ee9e2e1512f6b4d00bd3b5de1d66bf.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point03_attempt0.npz,c82d32897a5f8c8d5fa541a4fdb001e08cb795f39cd730d2fa64798f71cc9648,0.0030665830126963556,executed,2026-09-22T05:41:22.643917+00:00,-4.353397332311895,1,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.851377299137539e-06,0.0012333339836914092,-4.367855389038039,0.0018072570907680108,0.9873482083776609,0.052400313735205595,0.013032477596954889,0.006120874611691196,0.49359324408288385,False,False,False,"[""delta_e"", ""epsilon_c"", ""fidelity""]",parameter_resume,86
B_point03_attempt1,0.5,0.1,6,307,results/stage3_v1/optimization/cache/08bb8ed489e104d146d353471a401a5afc2ce7d874e97ca3acdfdcf7e6b9a901.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/B_point03_attempt1.npz,92a9138e0473081e1b0ba139c27cbd20dde7ff208553469c192aaafe88ac2778,0.003239541983930394,executed,2026-09-22T05:41:22.647432+00:00,-4.343743981641254,2,5,5,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.946390707527559e-06,0.0014730409893672913,-4.367855389038039,0.0030139259245980377,0.9632048573892374,0.10623571953618494,0.030928293370901513,0.003868979786785798,0.48360338968440686,False,False,False,"[""delta_e"", ""epsilon_c"", ""epsilon_sf"", ""fidelity""]",parameter_resume,452
