metric_path,value
/equal_resource/10/MSE_ED,9.821322669678346e-05
/equal_resource/10/MSE_own_p0,3.2646587765547814e-06
/equal_resource/10/bias_squared,9.487207949202046e-05
/equal_resource/10/sampling_MSE,3.26465877655473e-06
/equal_resource/10/shots,299998.0
/equal_resource/10/G,31379790.8
/equal_resource/10/settings,30.0
/equal_resource/11/mode,equal_gate
/equal_resource/11/budget,300000
/equal_resource/11/p,0
/equal_resource/11/method,zne_quadratic
/equal_resource/11/n,45
/equal_resource/11/labelled,6
/equal_resource/11/MSE_ED,0.00011635043845302196
/equal_resource/11/MSE_own_p0,1.948032609879622e-05
/equal_resource/11/bias_squared,9.487207949202038e-05
/equal_resource/11/sampling_MSE,1.9480326098796214e-05
/equal_resource/11/shots,100000.0
/equal_resource/11/G,31379790.8
/equal_resource/11/settings,6.0
/equal_resource/12/mode,equal_gate
/equal_resource/12/budget,300000
/equal_resource/12/p,0.01
/equal_resource/12/method,raw
/equal_resource/12/n,45
/equal_resource/12/labelled,6
/equal_resource/12/MSE_ED,0.017547227829306927
/equal_resource/12/MSE_own_p0,0.018153911828360823
/equal_resource/12/bias_squared,0.017546168508247487
/equal_resource/12/sampling_MSE,5.099033224144345e-07
/equal_resource/12/shots,299998.0
/equal_resource/12/G,31379790.8
/equal_resource/12/settings,2.0
/equal_resource/13/mode,equal_gate
/equal_resource/13/budget,300000
/equal_resource/13/p,0.01
/equal_resource/13/method,sv
/equal_resource/13/n,45
/equal_resource/13/labelled,6
/equal_resource/13/MSE_ED,0.012379058974955084
/equal_resource/13/MSE_own_p0,0.012898782795490388
/equal_resource/13/bias_squared,0.012363059138758846
/equal_resource/13/sampling_MSE,1.048186549949685e-05
/equal_resource/13/shots,299998.0
/equal_resource/13/G,31379790.8
/equal_resource/13/settings,30.0
/equal_resource/14/mode,equal_gate
/equal_resource/14/budget,300000
/equal_resource/14/p,0.01
/equal_resource/14/method,zne_quadratic
/equal_resource/14/n,45
/equal_resource/14/labelled,6
/equal_resource/14/MSE_ED,0.0015628326423108435
/equal_resource/14/MSE_own_p0,0.0017080626622891272
/equal_resource/14/bias_squared,0.001540077376890337
/equal_resource/14/sampling_MSE,2.397490385187131e-05
/equal_resource/14/shots,100000.0
/equal_resource/14/G,31379790.8
/equal_resource/14/settings,6.0
/equal_resource/15/mode,equal_gate
/equal_resource/15/budget,300000
/equal_resource/15/p,0.05
/equal_resource/15/method,raw
/equal_resource/15/n,45
/equal_resource/15/labelled,6
/equal_resource/15/MSE_ED,0.10511493783427558
/equal_resource/15/MSE_own_p0,0.10652709216018746
/equal_resource/15/bias_squared,0.10511665463553438
