n,kappa,h,m0,map,mx,binder,antiphase_binder,sector_gap,residual,ambiguous,source,level,bc
8,0.4,1.4,0.16244900903239246,0.12584732012153496,0.9197377508068172,0.10602880920380697,0.10075662423064202,3.779528676384407,9.669223545057249e-15,False,results/stage6_v1/reference_atlas/cache/a596499734a4fc1a2d52dab6a3a7140313107b5a221d0872404c404445315d85.npz,RN,PBC
8,0.4,1.45,0.16157976379017863,0.1266742891699073,0.9238682977027242,0.10622237192425066,0.10381277208932338,3.960772914825741,7.958448499745185e-15,False,results/stage6_v1/reference_atlas/cache/a05e0654f069658e773e2269e389b1ef15cbe3e66cdc173d6af93b8196cee424.npz,RN,PBC
8,0.4,1.5,0.16074532815389875,0.12741411365732383,0.927683753866062,0.10635502413377618,0.10659509354062746,4.142913529766341,1.0566456867655157e-14,False,results/stage6_v1/reference_atlas/cache/f4c44f1c5be0239dc058dab3d8007332aee53dd7510d6d89a0525cac79ee3b02.npz,RN,PBC
8,0.4,1.55,0.15994434014102654,0.12807606388037684,0.9312155613067846,0.10643722445937065,0.10912935605389107,4.32588861211212,1.020348717653467e-14,False,results/stage6_v1/reference_atlas/cache/24c592e2f003f9cf2875facd1b536f2aff7f047617ed8587fdcc618a0ad3e381.npz,RN,PBC
8,0.4,1.6,0.15917537685173566,0.12866838410481354,0.9344913749916535,0.10647750038150072,0.11143908193789132,4.509641653500029,8.59840675387814e-15,False,results/stage6_v1/reference_atlas/cache/9ca6a753227c87b38728af3f869aa73734798df9107c94f47bf0aff47f8036c0.npz,RN,PBC
8,0.4,1.65,0.15843699412519313,0.12919840063463303,0.937535578629526,0.10648283865368846,0.11354562148862579,4.694121010958618,1.770118227035394e-14,False,results/stage6_v1/reference_atlas/cache/46d202fbfab67c532dff83cd94a61a01dc5f63ba4a04967eab1dda1db2c14fad.npz,RN,PBC
8,0.4,1.7,0.1577277552905678,0.12967262231506826,0.9403697260757085,0.1064589913028946,0.11546827753972044,4.879279423458563,6.97455146682244e-15,False,results/stage6_v1/reference_atlas/cache/0f2d837afca5bb41e9a703686bbe08fff853f5374b651c8847a6d479a6c5e43b.npz,RN,PBC
8,0.4,1.75,0.15704625152146126,0.13009683239320047,0.9430129186842713,0.10641071627743437,0.11722445587856123,5.065073577614232,8.120581339769891e-15,False,results/stage6_v1/reference_atlas/cache/3e8795ecf059b5b7a24355c0c5cd267f5810d4b169020719a17dd5844301c715.npz,RN,PBC
8,0.4,1.8,0.15639111580723172,0.13047617146566717,0.9454821278782239,0.10634196741109925,0.11882982529517239,5.2514637188492,8.472682124045022e-15,False,results/stage6_v1/reference_atlas/cache/e03aca85e1e1ec60555a4be7c28a17ffa154599635ac04988e636576773401bf.npz,RN,PBC
8,0.4,1.85,0.15576103212558895,0.13081521173325897,0.9477924710697374,0.1062560449824097,0.12029847721500753,5.4384133039662625,8.826098480675078e-15,False,results/stage6_v1/reference_atlas/cache/4727123ba1f8a9b2689b0e66ad3e607b757665c8f06592a7de5a8eef97db49fd.npz,RN,PBC
8,0.4,1.9,0.15515474104594928,0.1311180230630818,0.949957447957898,0.10615571554691161,0.12164307894636484,5.625888691032658,1.2387820549587201e-14,False,results/stage6_v1/reference_atlas/cache/8407b760fbd1d7c4ac924ea4c1de13dec176cb5b453154ca5af6b79f76323270.npz,RN,PBC
8,0.4,1.95,0.1545710427078304,0.13138823150314516,0.9519891432158387,0.1060433077291475,0.1228750172380011,5.813858862659474,1.0418365043410295e-14,False,results/stage6_v1/reference_atlas/cache/ca7375205d06f2ad2b761a10525e880d6c8cfeacc16827f23ac7d65d93e3a53d.npz,RN,PBC
8,0.4,2.0,0.15400879789363445,0.13162907095116572,0.9538984006756814,0.105920789137666,0.12400453055996763,6.002295179025857,8.884559321017418e-15,False,results/stage6_v1/reference_atlas/cache/9de5e01fee7601a765b38c5b61ceb099a2abbaa6a0184584ff61afe2a9a2289f.npz,RN,PBC
8,0.45,0.01,0.9999273251548262,1.0389576842406711e-05,0.009097857821204355,0.666656035317611,-3022.347414312196,0.3655144069720855,3.119126145591776e-15,False,results/stage6_v1/reference_atlas/cache/0a7fda4ca01313f8e1c3c1547bc2e6da71427f19dce7473f8f0f426a4d67e5a7.npz,RN,PBC
8,0.45,0.02,0.999704836433235,4.228309678908082e-05,0.018238143946942384,0.666623077970639,-753.2955034489908,0.33134233644329125,2.2544086677009147e-15,False,results/stage6_v1/reference_atlas/cache/66f87467aca5315ad7fc9f8ebb508b22b197fe41d58df50f51cffc0b0243b69f.npz,RN,PBC
8,0.45,0.035,0.9990547006858035,0.00013604809115719263,0.032132334897847774,0.6665231847629385,-243.13787319397701,0.2806902061657448,4.6209658803515265e-15,False,results/stage6_v1/reference_atlas/cache/cfc4efffcf135d44fad1e7e4f18528da33b09262ca4b5e3ec998cd600690cd0f.npz,RN,PBC
8,0.45,0.05,0.9979096320539206,0.0003017682402836064,0.046440769929223635,0.6663337176845812,-115.81466751667709,0.23081551816100987,3.677810398196493e-15,False,results/stage6_v1/reference_atlas/cache/faac805876fb4a7a867f6e2f3f7f6d25f206f417404d35fb1d9d37ec0d5362b1.npz,RN,PBC
8,0.45,0.075,0.9936404059836759,0.000886752982217659,0.07254098553162926,0.6654736180055125,-44.48100591285814,0.1497884238845275,2.7337745265188355e-15,False,results/stage6_v1/reference_atlas/cache/b0c8e7bd8e207abb5f8d41c8fd88f785d7497dd006d19631cc69556eb34de60d.npz,RN,PBC
8,0.45,0.0875,0.987768625596349,0.0015713424125814723,0.08869473355815811,0.664016881526522,-26.784757382561256,0.11071764882867896,4.015717015887316e-15,False,results/stage6_v1/reference_atlas/cache/973630dbee60e1592e8af288d78517f70fd47654a29b1278cf609660f6aa275b.npz,RN,PBC
