n,kappa,h,energy_per_site,mx,c1,c2,m2_ferro,m2_antiphase,residual,classical_degeneracy
12,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,-1.7864590659537137e-16,0.0,2.0
12,0.0,0.05,-1.0006250977173445,0.025007819833770647,0.9993747067256568,0.9993744135124527,0.9994265944102341,5.213218180248801e-05,9.162554520760132e-14,0.0
12,0.0,0.1,-1.0025015664215988,0.050062735604904235,0.9974952928611063,0.9974905896555912,0.9977004795653795,0.00020911588529923936,2.267056315713351e-12,0.0
12,0.0,0.15000000000000002,-1.0056329550481125,0.07521273857766421,0.9943510442614627,0.9943271337277795,0.9948037254808709,0.000472719910502913,1.3327207964101274e-11,0.0
12,0.0,0.2,-1.0100252540409633,0.10050766355720181,0.9899237213295227,0.9898477000759511,0.9907056415671013,0.0008459167485705862,4.712425630476155e-11,0.0
12,0.0,0.25,-1.015687013664726,0.12600026430812336,0.9841869475876954,0.9839998966350929,0.9853614821451157,0.001332920052391116,1.4755715532034395e-14,0.0
12,0.0,0.30000000000000004,-1.0226295220666435,0.1517475633009062,0.977105253076371,0.976713584896052,0.9787104232017336,0.0019392410957721218,2.171576435846568e-14,0.0
12,0.0,0.35000000000000003,-1.0308670638750412,0.1778128000840964,0.9686325838456059,0.9678982760819423,0.970672452071892,0.0026717768483289707,2.7885322763451517e-14,0.0
12,0.0,0.4,-1.0404173040961706,0.2042686453347875,0.9587098459622564,0.9574389514300474,0.9611433927909606,0.00353896438273206,2.7563482359609204e-14,0.0
12,0.0,0.45,-1.0513018883242848,0.23120289993084678,0.9472605833554033,0.9451889073765195,0.9499864780492979,0.004551080535500385,2.209926894927492e-14,0.0
12,0.0,0.5,-1.0635474292520042,0.25872864371389964,0.9341831073950535,0.9309569896605845,0.9370174877067926,0.005720840287021818,1.2156745612555046e-14,0.0
12,0.0,0.55,-1.0771871676971234,0.287001578062888,0.9193362997625355,0.914484783590143,0.9219784077870868,0.007064551768939703,2.7513032908162237e-14,0.0
12,0.0,0.6000000000000001,-1.0922637454098976,0.3162476339120333,0.9025151650626773,0.895407311949735,0.9044921165324361,0.008604192821082773,1.806734775335945e-14,0.0
12,0.0,0.65,-1.1088336572608448,0.34680251959065966,0.8834120195269155,0.8731900463549922,0.8839892921194793,0.01037078523117199,1.8179561064211843e-14,0.0
12,0.0,0.7000000000000001,-1.126973908600024,0.37915862621512014,0.8615628702494392,0.8470401287184246,0.8596035090347488,0.012409082968877634,2.2375151375593477e-14,0.0
12,0.0,0.75,-1.146790795181574,0.41399676631273863,0.8362932204470197,0.8158123193166369,0.8300545669886699,0.01478220021081979,1.868143755798759e-14,0.0
12,0.0,0.8,-1.1684287078593978,0.4521402510031078,0.8067165070569123,0.7779929773166872,0.7936102743194752,0.017571197354777045,3.903613729392849e-14,0.0
12,0.0,0.8500000000000001,-1.192072273433379,0.49430980914404804,0.7719089356609381,0.7319638903696679,0.7483553095648786,0.020858277831276566,3.104707662493377e-14,0.0
12,0.0,0.9,-1.2179285122412715,0.5405604500827295,0.7314241071668163,0.676826315476817,0.693101958174719,0.02467908565228225,3.449857247756997e-14,0.0
12,0.0,0.9500000000000001,-1.2461751065437856,0.5895611164266291,0.6860920459384878,0.6137284070569293,0.6289202548163405,0.028950339828803132,3.579823125084291e-14,0.0
12,0.0,1.0,-1.2768829292567319,0.6384414646283672,0.6384414646283643,0.5466348325776196,0.5601078308105691,0.03343402953843758,2.021634391576122e-14,0.0
