n,kappa,h,energy_per_site,mx,c1,c2,m2_ferro,m2_antiphase,residual,classical_degeneracy
8,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,-3.0616169978683824e-17,0.0,2.0
8,0.0,0.1,-1.0025015666823316,0.05006275644111617,0.9974952910382198,0.9974905871285973,0.997805432203376,0.0003136740872994426,3.101412540003214e-15,0.0
8,0.0,0.2,-1.0100253198889193,0.10051028498900196,0.9899232628911188,0.98984706232581,0.9911347130072882,0.0012689404565337766,6.588876939285283e-15,0.0
8,0.0,0.30000000000000004,-1.0226311671161206,0.15179089015195635,0.9770939000705334,0.9766977013486797,0.9797029730372511,0.0029104837061790074,9.001184534873145e-15,0.0
8,0.0,0.4,-1.0404330568086149,0.20457538615832682,0.9586029023452842,0.957288199036312,0.9629136528528119,0.005323772342788162,9.104842757524937e-15,0.0
8,0.0,0.5,-1.0636352793925359,0.2600619132918739,0.9336043227465987,0.9301339217941373,0.9395483569220542,0.008664460509962292,1.2614065254169936e-14,0.0
8,0.0,0.6000000000000001,-1.0926043067862417,0.32035082914181334,0.9003938093011534,0.8923644472553973,0.907182670582264,0.0132121404426771,4.104345479512338e-15,0.0
8,0.0,0.7000000000000001,-1.1279667676728777,0.3884757276276253,0.8560337583335406,0.8390707381430996,0.8615911034051104,0.019413834015165415,4.916167155637816e-15,0.0
8,0.0,0.8,-1.1706505570546502,0.46699093866501684,0.7970578061226364,0.7642378882114419,0.7975147414767303,0.027769090343423678,3.645403237574759e-15,0.0
8,0.0,0.9,-1.221660957251998,0.5541008426196632,0.7229701988943011,0.6661244353605955,0.7133166770108312,0.038323258305234024,5.52660575184134e-15,0.0
8,0.0,1.0,-1.2814577238707536,0.640728861935377,0.6407288619353764,0.5546936598217758,0.6175234559672758,0.05005024666296553,5.5117709443303485e-15,0.0
8,0.0,1.1,-1.3494084590468363,0.7156629331599773,0.5621792325708611,0.4482474739605259,0.5260179600080391,0.06125253637618839,4.55081419945759e-15,0.0
8,0.0,1.2000000000000002,-1.4240249564406864,0.773873567623883,0.49537667529202656,0.3596833859735793,0.45005771301159136,0.07079069670899878,3.102174518964744e-15,0.0
8,0.0,1.3,-1.5036751512038862,0.8169071624099314,0.4416958400709747,0.2913619790968943,0.39170999409397644,0.07846892163705493,7.153673190066756e-15,0.0
8,0.0,1.4000000000000001,-1.5870281395145671,0.8485717731452621,0.3990276571112003,0.23994811094653756,0.34804605659889765,0.084576682907035,4.3002335929607924e-15,0.0
8,0.0,1.5,-1.6731256541438448,0.8722858606428571,0.36469686317955924,0.20111458634423612,0.3152631345663509,0.0894823562001139,5.271513822572653e-15,0.0
8,0.0,1.6,-1.7613025549744337,0.890490021888213,0.3365185199532926,0.17131007902098794,0.29024253936023137,0.09348823541213931,5.296880915202196e-15,0.0
8,0.0,1.7000000000000002,-1.851094835935994,0.904811460202695,0.3129153535914127,0.14798079060717986,0.2707469139751944,0.09681465219384096,4.3582440826007755e-15,0.0
8,0.0,1.8,-1.9421716759656826,0.9163262925275362,0.29278434941611675,0.12936096991714882,0.2552355890343965,0.0996179348611717,7.139174325386922e-15,0.0
8,0.0,1.9000000000000001,-2.0342908932383548,0.9257577826413539,0.27535110621978176,0.11423329601490115,0.24265241260631717,0.10200985670275177,8.798999020591313e-15,0.0
8,0.0,2.0,-2.12727055878507,0.933604322746598,0.26006191329187367,0.10174821672319453,0.23226547003673953,0.10407198045186712,6.246916271661717e-15,0.0
8,0.05,0.0,-0.95,0.0,1.0,1.0,1.0,-3.0616169978683824e-17,0.0,2.0
8,0.05,0.1,-0.9526337196771655,0.05271735299922378,0.9972227856576172,0.9972160256074901,0.9975657363654296,0.000348004808381594,3.625012711317098e-15,0.0
8,0.05,0.2,-0.9605609806571829,0.1059628285589751,0.9888030694427594,0.9886930899474417,0.9901336612529974,0.0014132630625909417,5.1000703944504345e-15,0.0
8,0.05,0.30000000000000004,-0.9738646179543002,0.16036955140165737,0.9744472562195405,0.973870073714745,0.9772722792573314,0.003263282148113914,6.006273454319526e-15,0.0
8,0.05,0.4,-0.9927060950292604,0.21694088283214935,0.9535077461253761,0.951560084579512,0.9580371168868191,0.006031368060520957,1.0352269659909732e-14,0.0
8,0.05,0.5,-1.0173857793466783,0.2775513193676977,0.9245752452843912,0.9193025124312448,0.9303954295513561,0.009970762551047146,7.994224840299201e-15,0.0
8,0.05,0.6000000000000001,-1.0484585951174428,0.34547185371287353,0.8847862923227667,0.872216188660961,0.8902033042029633,0.015544535923106478,3.639407269767282e-15,0.0
8,0.05,0.7000000000000001,-1.0868645463108042,0.42484168854258814,0.8295981184827943,0.8024550830360464,0.8306765665823004,0.023438771655936417,4.021765487600947e-15,0.0
8,0.05,0.8,-1.1338553246164464,0.5167047859644447,0.7556687115629089,0.7035443143603681,0.7460852865789558,0.034123011422469325,1.4029297239656423e-14,0.0
8,0.05,0.9,-1.1903486808686112,0.6125715086024615,0.6681526353570755,0.5823662446135992,0.6422066479804734,0.04680601380270503,5.843652852278376e-15,0.0
8,0.05,1.0,-1.2559894577888042,0.6973239494507977,0.581764830769401,0.46198644862789406,0.5389846189485299,0.05933893632173048,5.494780354587821e-15,0.0
8,0.05,1.1,-1.3291486309785328,0.7625037857009085,0.5084982756096893,0.36207617804312187,0.4535540374057606,0.06999838952149585,4.775814396036466e-15,0.0
8,0.05,1.2000000000000002,-1.407882497515875,0.8095490676560511,0.4507677003482955,0.286881680393639,0.3896228914603205,0.07843343928604458,4.7347465140878895e-15,0.0
8,0.05,1.3,-1.490619854843083,0.8434013407676613,0.40579319778882905,0.23190171887412092,0.34323255228476757,0.08502549006125142,5.377208517537185e-15,0.0
8,0.05,1.4000000000000001,-1.5762680282872008,0.8683620905487983,0.37013092005956205,0.19139637081358266,0.3093338170323564,0.09025052859525612,4.421507625175598e-15,0.0
8,0.05,1.5,-1.6640941311370985,0.8873434486643477,0.34112435996989254,0.16090803658631267,0.2840096885616904,0.09447833536689854,7.0590892478490156e-15,0.0
8,0.05,1.6,-1.7535998725894926,0.9021976931121782,0.3169532680309367,0.13739408841858508,0.2645951470383708,0.09796580744038323,2.6413043426588164e-15,0.0
8,0.05,1.7000000000000002,-1.844435945912108,0.9141070765640469,0.29639586058654904,0.11883889666641963,0.2493344779273301,0.10088898909724854,6.130653150416013e-15,0.0
8,0.05,1.8,-1.9363492385298908,0.9238469101131803,0.2786197288510327,0.1038985704973333,0.23706611357293467,0.10337096027688225,5.5358285084610146e-15,0.0
8,0.05,1.9000000000000001,-2.029150705843244,0.9319429798802039,0.2630419909951429,0.09165893848574169,0.2270074571533479,0.10550037809916614,5.654785588565684e-15,0.0
8,0.05,2.0,-2.122695437354443,0.9387638013361859,0.24924197618270436,0.08148283001267281,0.21861900662299502,0.1073430471649245,6.976760211048194e-15,0.0
8,0.1,0.0,-0.9,0.0,1.0,1.0,1.0,-3.0616169978683824e-17,0.0,2.0
8,0.1,0.1,-0.902780778967117,0.055675855284203324,0.9969024389518473,0.9968924551315022,0.9972834638549444,0.0003884664604959204,6.68297209258192e-15,0.0
8,0.1,0.2,-0.9111598524580801,0.1120971160247839,0.987471198521638,0.987307692685149,0.9889350157385464,0.0015865021655799814,2.9846444394147606e-15,0.0
8,0.1,0.30000000000000004,-0.9252554134819927,0.17019478471472893,0.9712332411510856,0.9703626308351199,0.9742716130726491,0.0036998907778645596,5.292018637459615e-15,0.0
8,0.1,0.4,-0.9453060149236612,0.23155933259952852,0.947089769493363,0.9440748760951301,0.9517017501662539,0.0069474823645278285,1.1960613591309121e-14,0.0
8,0.1,0.5,-0.9717775042493458,0.29931224469277523,0.9125267171853089,0.9040533528235088,0.9175664553520295,0.011768347181444594,7.994514309678505e-15,0.0
8,0.1,0.6000000000000001,-1.005555886788139,0.3787040590894897,0.8624820515180298,0.8414860018358503,0.8643331651670345,0.018966199971197695,7.438386653098994e-15,0.0
8,0.1,0.7000000000000001,-1.0480710957820818,0.4743236461462956,0.7905034588638472,0.7445891538417266,0.7817298342379995,0.029499239767439154,8.976017148383334e-15,0.0
8,0.1,0.8,-1.1007852553608704,0.5802703624625167,0.6979297295197113,0.6136076412885472,0.669708512048836,0.04311702745090224,1.0284285852559568e-14,0.0
8,0.1,0.9,-1.163807314467714,0.6769454002632698,0.6021620205891254,0.4760556635835445,0.5519644724780539,0.05723074059720684,7.878477707759752e-15,0.0
8,0.1,1.0,-1.2353790168011887,0.7503675050058912,0.5212353544659999,0.36223842670702633,0.4548693338522345,0.06921786431265047,4.929565261389729e-15,0.0
8,0.1,1.1,-1.3131413847636948,0.8017523412523504,0.4591546178643776,0.27940808478268414,0.3847560250643872,0.07849068177009326,4.568891493702206e-15,0.0
8,0.1,1.2000000000000002,-1.3952196574830578,0.8377790730784171,0.411987537575973,0.22102767787016303,0.33586544146786057,0.08558809690035414,5.245510073336201e-15,0.0
8,0.1,1.3,-1.4803705022744054,0.8639337215944637,0.37518299545926875,0.1792633125766653,0.3012923830317198,0.09113882507812852,4.187046106477469e-15,0.0
8,0.1,1.4000000000000001,-1.5677940268912813,0.8836720690583978,0.34550221216727706,0.14849081957752683,0.2760854924745917,0.09559423669535494,4.5059875549881396e-15,0.0
8,0.1,1.5,-1.6569611100205481,0.8990705267016321,0.3208669213056669,0.1251160133756727,0.2570940100203775,0.0992496044804495,4.855877417637497e-15,0.0
8,0.1,1.6,-1.7475064649076937,0.9114042785514246,0.29994709648445445,0.10687477259040636,0.24234820251646189,0.10229962344717389,5.1338062003693174e-15,0.0
8,0.1,1.7000000000000002,-1.8391673265243635,0.9214901706448546,0.28186528766865493,0.0923125124054484,0.230596197369074,0.10487759803619247,5.615413234434607e-15,0.0
8,0.1,1.8,-1.9317479789424232,0.9298750969684113,0.26601940369290367,0.08046599293621391,0.22102003977637674,0.1070787036580279,7.397160322446353e-15,0.0
8,0.1,1.9000000000000001,-2.025098463036855,0.9369400786473832,0.2519799788362913,0.07067665229464601,0.21306897138467742,0.10897345470107202,6.2244315005668705e-15,0.0
8,0.1,2.0,-2.1191012264024343,0.9429596934067036,0.23942988792604858,0.06248048337021675,0.20636120816378345,0.11061568201375753,6.986470390014554e-15,0.0
8,0.15000000000000002,0.0,-0.85,0.0,1.0,1.0,1.0,-3.0616169978683824e-17,0.0,2.0
8,0.15000000000000002,0.1,-0.8529455112015502,0.05899739532462245,0.9965217425745454,0.9965064727030475,0.9969471145276148,0.0004367357543221512,7.142026773701357e-15,0.0
8,0.15000000000000002,0.2,-0.86183543309811,0.11908290477903558,0.9858599276793554,0.9856071702470168,0.9874692404596259,0.0017990196452391364,7.59326258811396e-15,0.0
8,0.15000000000000002,0.30000000000000004,-0.8768452416032567,0.18170196880867584,0.9672093441307072,0.9658312878003563,0.9704191342490612,0.004261084474189656,9.199120749510367e-15,0.0
