n,kappa,order_parameter,derivative_peak_h,derivative_peak_at_endpoint,fidelity_peak_h,fidelity_peak_at_endpoint,field_step
8,0.0,m2_ferro,0.9500000000000001,False,0.925,False,0.05
8,0.3,m2_ferro,0.45,False,0.42500000000000004,False,0.05
8,0.8,m2_antiphase,0.6000000000000001,False,0.525,False,0.05
12,0.0,m2_ferro,1.0,False,0.9750000000000001,False,0.05
12,0.3,m2_ferro,0.45,False,0.42500000000000004,False,0.05
12,0.8,m2_antiphase,0.5,False,0.525,False,0.05
16,0.0,m2_ferro,1.0,False,0.9750000000000001,False,0.05
16,0.3,m2_ferro,0.45,False,0.42500000000000004,False,0.05
16,0.8,m2_antiphase,0.45,False,0.42500000000000004,False,0.05
